_uid_,id,longitude,latitude,initialdate,days,year,month,air_level_1000,air_level_975,air_level_950,air_level_925,air_level_900,air_level_875,air_level_850,air_level_825,air_level_800,air_level_775,air_level_750,air_level_725,air_level_700,air_level_650,air_level_600,air_level_550,air_level_500,air_level_450,air_level_400,air_level_350,air_level_300,air_level_275,air_level_250,air_level_225,air_level_200,air_level_175,air_level_150,air_level_125,air_level_100,hgt_level_1000,hgt_level_975,hgt_level_950,hgt_level_925,hgt_level_900,hgt_level_875,hgt_level_850,hgt_level_825,hgt_level_800,hgt_level_775,hgt_level_750,hgt_level_725,hgt_level_700,hgt_level_650,hgt_level_600,hgt_level_550,hgt_level_500,hgt_level_450,hgt_level_400,hgt_level_350,hgt_level_300,hgt_level_275,hgt_level_250,hgt_level_225,hgt_level_200,hgt_level_175,hgt_level_150,hgt_level_125,hgt_level_100,tke_level_1000,tke_level_975,tke_level_950,tke_level_925,tke_level_900,tke_level_875,tke_level_850,tke_level_825,tke_level_800,tke_level_775,tke_level_750,tke_level_725,tke_level_700,tke_level_650,tke_level_600,uwnd_level_1000,uwnd_level_975,uwnd_level_950,uwnd_level_925,uwnd_level_900,uwnd_level_875,uwnd_level_850,uwnd_level_825,uwnd_level_800,uwnd_level_775,uwnd_level_750,uwnd_level_725,uwnd_level_700,uwnd_level_650,uwnd_level_600,uwnd_level_550,uwnd_level_500,uwnd_level_450,uwnd_level_400,uwnd_level_350,uwnd_level_300,uwnd_level_275,uwnd_level_250,uwnd_level_225,uwnd_level_200,uwnd_level_175,uwnd_level_150,uwnd_level_125,uwnd_level_100
26219.0,11115399.0,-1746684.5096573755,2769390.0172407734,2009-12-01,2,2009,12,296.18084716796875,293.9482421875,291.8480224609375,289.8836975097656,288.07391357421875,286.06756591796875,285.21240234375,284.100341796875,282.881591796875,281.6158447265625,280.23577880859375,278.7229309082031,277.160888671875,273.96209716796875,270.61431884765625,267.9696960449219,265.70654296875,261.1358642578125,254.79942321777344,248.79324340820312,241.43043518066406,237.1168670654297,233.26031494140625,228.4082489013672,222.89889526367188,216.71812438964844,209.06817626953125,201.89109802246094,200.02793884277344,108.774169921875,329.8612365722656,554.1771240234375,783.325439453125,1017.017822265625,1254.85009765625,1498.908935546875,1748.124755859375,2005.107666015625,2268.061767578125,2538.468994140625,2816.474365234375,3103.2021484375,3702.80322265625,4341.98046875,5027.90234375,5773.4921875,6587.50390625,7477.26953125,8461.81640625,9569.6015625,10179.7421875,10836.171875,11548.52734375,12327.74609375,13188.36328125,14148.9921875,15245.73828125,16552.484375,1.0,1.0,0.625,0.5,2.5,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.34507590532302856,0.20000000298023224,-7.06201171875,-7.2277984619140625,-7.474609375,-8.37628173828125,-8.833343505859375,-9.484603881835938,-10.027374267578125,-9.91436767578125,-9.387863159179688,-8.720596313476562,-8.092849731445312,-7.765838623046875,-7.725738525390625,-8.2451171875,-7.8419036865234375,-7.2955322265625,-7.4853057861328125,-1.9780731201171875,2.6993408203125,7.7057342529296875,18.056442260742188,25.384963989257812,32.02403259277344,36.25697326660156,39.98680877685547,39.59525680541992,41.02574157714844,31.9940128326416,24.431306838989258
26218.0,11115398.0,-1751708.3086598548,2861477.71035021,2009-12-08,0,2009,12,295.6529541015625,293.5740966796875,292.02496337890625,290.78277587890625,289.486328125,288.1452941894531,286.77392578125,285.3941955566406,284.0087890625,282.9313659667969,282.1248779296875,281.71002197265625,282.0226745605469,280.02203369140625,276.78564453125,272.7783203125,268.56903076171875,263.2214660644531,258.049560546875,250.96046447753906,242.2047882080078,236.24908447265625,230.9212188720703,228.46531677246094,222.8040008544922,214.85848999023438,206.84059143066406,199.7058563232422,194.30816650390625,112.272705078125,333.05615234375,557.807373046875,786.6573486328125,1021.545166015625,1261.274169921875,1507.359130859375,1758.274658203125,2016.63623046875,2280.927978515625,2553.614990234375,2834.15478515625,3124.54736328125,3736.093017578125,4389.0166015625,5090.0849609375,5846.453125,6667.5703125,7566.86328125,8563.1171875,9677.84375,10287.58203125,10939.140625,11646.60546875,12427.734375,13283.51953125,14234.83984375,15319.5546875,16604.47265625,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2009812295436859,0.19999733567237854,-0.208892822265625,-0.1913604736328125,-0.5482940673828125,-1.30877685546875,-1.972991943359375,-2.6552886962890625,-3.1303863525390625,-3.439788818359375,-3.7408599853515625,-3.1695709228515625,-1.9212188720703125,-1.0430755615234375,-0.2733306884765625,1.9190826416015625,3.233551025390625,5.220428466796875,6.801422119140625,8.23272705078125,9.757904052734375,14.717727661132812,20.50799560546875,20.455429077148438,19.302536010742188,21.88433837890625,26.067672729492188,24.627899169921875,21.177810668945312,18.257431030273438,6.693300247192383
26199.0,11115396.0,-1753676.16095888,2861870.6845313623,2009-12-17,0,2009,12,296.38165283203125,294.31170654296875,293.99444580078125,292.7718811035156,291.3793029785156,289.9210510253906,288.36224365234375,286.57763671875,284.7474365234375,284.05010986328125,284.7105712890625,284.43731689453125,282.8770751953125,278.80096435546875,274.26593017578125,270.1734619140625,265.629150390625,261.2770690917969,255.69622802734375,248.2176513671875,241.0415496826172,238.26243591308594,234.30923461914062,228.85462951660156,222.7062225341797,214.85501098632812,207.0694580078125,200.0108184814453,195.2128448486328,110.74876403808594,331.9479675292969,557.6890258789062,788.51220703125,1023.921630859375,1264.754638671875,1512.0703125,1763.8017578125,2023.168701171875,2288.25537109375,2561.58984375,2845.557861328125,3137.3330078125,3747.996337890625,4397.06591796875,5091.2734375,5840.5625,6654.25390625,7546.90625,8533.27734375,9636.453125,10246.6796875,10907.4375,11622.31640625,12402.515625,13258.109375,14210.34375,15296.2265625,16584.27734375,0.4000000059604645,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20568418502807617,0.19968757033348083,-2.178558349609375,-2.27880859375,-1.2424774169921875,-1.74481201171875,-1.754364013671875,-0.6053619384765625,1.3851318359375,3.184814453125,4.1236572265625,4.044708251953125,3.105804443359375,2.047821044921875,1.58502197265625,3.300567626953125,5.4243927001953125,7.7585296630859375,10.381759643554688,11.180938720703125,11.402359008789062,17.39520263671875,27.115798950195312,31.653366088867188,33.33282470703125,32.916534423828125,34.75404357910156,35.42399597167969,34.78966522216797,31.685623168945312,25.308982849121094
26231.0,11115100.0,-1715987.8318037307,1323497.101735179,2009-12-07,0,2009,12,298.7093505859375,296.8692626953125,295.34930419921875,293.5074462890625,292.102294921875,290.58087158203125,288.50408935546875,286.39239501953125,284.2578430175781,283.2078857421875,283.0804138183594,282.5263671875,281.99755859375,280.2475280761719,276.21099853515625,273.41961669921875,268.95330810546875,263.01031494140625,256.40936279296875,248.89865112304688,240.86241149902344,236.68923950195312,232.7013397216797,228.04798889160156,223.250244140625,217.29246520996094,210.16551208496094,201.7666778564453,196.38632202148438,83.141357421875,306.4720458984375,534.2049560546875,766.463134765625,1002.927490234375,1245.68701171875,1493.810302734375,1745.8349609375,2004.16943359375,2269.89794921875,2542.559326171875,2824.316162109375,3114.87451171875,3727.18408203125,4379.4541015625,5079.84375,5838.51171875,6659.66015625,7555.828125,8544.671875,9649.046875,10257.7578125,10912.5859375,11624.125,12402.87109375,13264.95703125,14229.7734375,15330.5390625,16626.34375,0.5,0.25,0.25,0.25,0.25,0.5,0.875,1.0,0.6499999761581421,0.25,0.25,0.20000000298023224,0.25,0.25,0.19970408082008362,-8.17120361328125,-9.520401000976562,-12.273040771484375,-14.11810302734375,-14.612289428710938,-12.794921875,-10.38372802734375,-8.023635864257812,-5.393280029296875,-2.3797607421875,-1.86041259765625,-1.885162353515625,-2.714874267578125,-5.338775634765625,-3.2088775634765625,-1.96429443359375,3.1575164794921875,4.21282958984375,2.1919708251953125,2.5712890625,6.125396728515625,7.8072662353515625,10.88525390625,14.989471435546875,18.615081787109375,21.58416748046875,24.162857055664062,27.499984741210938,16.551578521728516
108306.0,11219676.0,-1403946.255064628,1371724.4752955087,2009-12-10,15,2009,12,298.82647705078125,296.70843505859375,294.90740966796875,293.08135986328125,291.2435302734375,289.72369384765625,288.4610595703125,287.4049072265625,287.0949401855469,286.193603515625,284.8468322753906,283.369140625,281.8505859375,279.2527770996094,276.87408447265625,273.7352294921875,269.61505126953125,264.53533935546875,259.1739196777344,252.5344696044922,244.0277557373047,239.06851196289062,234.2691650390625,228.18504333496094,221.66136169433594,214.4614715576172,207.57032775878906,201.48916625976562,194.95106506347656,92.55506896972656,316.1327209472656,543.281982421875,774.89501953125,1011.044677734375,1252.384521484375,1499.544921875,1752.09814453125,2011.118896484375,2279.192626953125,2554.216552734375,2836.854248046875,3128.753662109375,3739.697021484375,4392.4013671875,5094.90234375,5854.0234375,6678.7734375,7582.28125,8583.99609375,9705.44921875,10321.03125,10981.65625,11695.96875,12472.07421875,13325.30859375,14277.16015625,15368.5234375,16664.12890625,0.5,0.625,0.25,0.5,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.251140296459198,0.19998732209205627,-7.7571868896484375,-8.281692504882812,-9.635894775390625,-11.326614379882812,-11.9671630859375,-12.762786865234375,-12.514312744140625,-11.243194580078125,-8.962127685546875,-6.76409912109375,-7.0554656982421875,-8.0972900390625,-8.536758422851562,-8.616867065429688,-8.927444458007812,-8.348190307617188,-8.1180419921875,-9.018569946289062,-8.350128173828125,0.563751220703125,11.232955932617188,15.157257080078125,13.801788330078125,11.390121459960938,9.800445556640625,9.525680541992188,14.029754638671875,14.713958740234375,13.907791137695312
73763.0,11219682.0,-1838448.593836372,1370497.8280608037,2009-12-17,9,2009,12,298.85040283203125,296.95233154296875,295.38507080078125,293.5531311035156,291.3949279785156,289.4054260253906,288.56536865234375,288.06201171875,286.9036865234375,285.53448486328125,284.1168212890625,282.70294189453125,281.2833251953125,278.39471435546875,275.20343017578125,272.1734619140625,268.801025390625,263.9801940917969,258.10247802734375,251.4364013671875,243.8852996826172,239.10618591308594,233.85610961914062,228.22962951660156,222.2999725341797,214.71438598632812,206.5382080078125,200.9170684814453,195.1347198486328,113.74876403808594,337.9479675292969,565.6890258789062,797.51220703125,1033.921630859375,1275.754638671875,1523.0703125,1776.8017578125,2037.668701171875,2305.25537109375,2579.58984375,2862.557861328125,3153.3330078125,3763.996337890625,4414.06591796875,5112.7734375,5869.0625,6692.75390625,7593.40625,8590.27734375,9709.953125,10325.6796875,10985.9375,11699.31640625,12477.015625,13332.609375,14282.84375,15368.7265625,16662.27734375,0.25,0.25,0.25,1.125,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20568418502807617,0.19968757033348083,-7.303558349609375,-8.59130859375,-10.398727416992188,-11.88543701171875,-12.191864013671875,-11.777236938476562,-9.6929931640625,-9.018310546875,-8.7982177734375,-8.627166748046875,-8.425445556640625,-8.311553955078125,-8.39935302734375,-8.933807373046875,-9.169357299804688,-9.819595336914062,-10.196365356445312,-8.053436279296875,-3.3945159912109375,-1.22979736328125,-0.5560760498046875,1.2939910888671875,2.77032470703125,2.807159423828125,0.1759185791015625,-1.7166271209716797,0.14904117584228516,2.123124122619629,2.3089828491210938
73763.0,11219682.0,-1838448.593836372,1370497.8280608037,2009-12-12,9,2009,12,299.264892578125,297.41021728515625,295.7052001953125,293.77825927734375,291.743896484375,289.73187255859375,287.83575439453125,286.1387939453125,284.56732177734375,284.3314208984375,285.0657043457031,284.50372314453125,283.26171875,279.77703857421875,276.8088073730469,273.4765625,269.71331787109375,265.4425048828125,260.70477294921875,253.18893432617188,244.8955841064453,240.2828826904297,235.26246643066406,230.12416076660156,222.81849670410156,214.99301147460938,206.57839965820312,200.67005920410156,194.28472900390625,78.638916015625,302.74462890625,530.6017456054688,763.084716796875,999.97412109375,1241.94775390625,1489.4912109375,1741.256103515625,1999.040771484375,2264.70556640625,2539.442138671875,2822.795166015625,3115.1748046875,3727.828857421875,4381.255859375,5084.296875,5842.75,6669.0859375,7577.0859375,8584.3359375,9708.09375,10326.328125,10990.015625,11708.31640625,12490.57421875,13347.3203125,14298.5703125,15383.71484375,16674.54296875,0.625,0.75,0.625,0.75,0.75,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.19056911766529083,0.19997234642505646,-11.036727905273438,-12.851165771484375,-15.287796020507812,-16.878402709960938,-18.290237426757812,-19.6605224609375,-19.019622802734375,-16.457321166992188,-13.795181274414062,-10.816787719726562,-9.6170654296875,-10.309432983398438,-11.263946533203125,-11.792144775390625,-12.963699340820312,-15.350753784179688,-16.114410400390625,-15.544052124023438,-3.80096435546875,3.94268798828125,2.874603271484375,0.82171630859375,-1.068634033203125,-3.6562347412109375,-1.5035552978515625,4.0601043701171875,9.09466552734375,8.669113159179688,7.1051177978515625
73764.0,11219683.0,-1715120.186013482,1322928.7593457983,2009-12-30,7,2009,12,298.41015625,296.16339111328125,294.23583984375,292.285400390625,290.2641906738281,289.48248291015625,288.4337158203125,287.6225280761719,286.86907958984375,286.126953125,285.38116455078125,284.6380615234375,283.6982116699219,281.2618408203125,278.0037841796875,274.26324462890625,269.97479248046875,264.2649841308594,258.709716796875,252.46868896484375,243.5022735595703,238.70138549804688,233.71800231933594,228.2000732421875,221.95556640625,215.69931030273438,208.67489624023438,201.20191955566406,193.7129364013672,81.24003601074219,304.2373046875,530.8252563476562,761.990234375,997.213623046875,1238.25537109375,1485.38671875,1738.194580078125,1998.353271484375,2266.448486328125,2541.63427734375,2825.84716796875,3118.9423828125,3733.852783203125,4390.033203125,5093.5234375,5855.34375,6679.83984375,7581.05859375,8583.234375,9702.96875,10317.2890625,10976.43359375,11689.7109375,12466.47265625,13322.93359375,14280.6015625,15374.71875,16663.94140625,1.2000000476837158,1.0,1.25,1.75,1.0,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.17611904442310333,0.19998855888843536,-13.329071044921875,-14.1751708984375,-15.43035888671875,-16.301223754882812,-17.082656860351562,-16.266952514648438,-14.915618896484375,-13.665512084960938,-12.484420776367188,-12.490921020507812,-12.851089477539062,-12.960906982421875,-12.76776123046875,-11.941650390625,-11.70904541015625,-10.908157348632812,-8.682998657226562,-5.725860595703125,-0.3824920654296875,5.3771514892578125,5.75128173828125,4.19158935546875,4.3142852783203125,4.63885498046875,4.444180488586426,7.310042381286621,15.781268119812012,16.979310989379883,14.585941314697266
73767.0,11219688.0,-1791739.6419433623,1299574.0611479536,2009-12-22,4,2009,12,297.58074951171875,295.38262939453125,293.31451416015625,291.4974365234375,290.54443359375,289.4309387207031,288.13885498046875,286.85614013671875,285.5791015625,284.3726501464844,283.43505859375,282.66094970703125,281.744384765625,278.4627685546875,274.7169189453125,270.917236328125,267.0181884765625,264.2379150390625,258.22265625,253.80125427246094,245.1781005859375,239.44847106933594,234.26429748535156,227.66273498535156,221.09144592285156,214.54869079589844,206.9257354736328,200.69540405273438,195.3932342529297,100.725830078125,322.93408203125,548.5755004882812,778.97412109375,1014.003662109375,1255.09521484375,1501.82763671875,1754.560546875,2014.6240234375,2280.45703125,2554.47412109375,2836.21337890625,3127.43896484375,3738.77099609375,4388.28466796875,5086.18359375,5839.0390625,6661.0234375,7562.55078125,8563.53515625,9693.37890625,10311.08984375,10972.24609375,11685.53515625,12459.5234375,13312.11328125,14263.3046875,15350.48828125,16642.921875,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24090290069580078,0.1999848335981369,-7.0362548828125,-7.2100372314453125,-7.7673492431640625,-9.522720336914062,-12.426376342773438,-13.235366821289062,-13.4063720703125,-13.402420043945312,-13.286270141601562,-12.656173706054688,-11.140594482421875,-8.49176025390625,-4.833160400390625,3.9441986083984375,9.88409423828125,12.000045776367188,14.330307006835938,17.750091552734375,18.500213623046875,14.507659912109375,11.286285400390625,11.7783203125,12.39825439453125,13.440841674804688,18.01312255859375,22.640625,25.80917739868164,23.407033920288086,14.750255584716797
73764.0,11219683.0,-1715120.186013482,1322928.7593457983,2009-12-11,7,2009,12,298.7551574707031,296.53875732421875,294.4844055175781,292.6964111328125,291.15960693359375,289.91796875,288.5535583496094,287.9254455566406,287.40484619140625,286.489501953125,285.1959228515625,283.7877502441406,282.31494140625,279.289794921875,276.29766845703125,273.3022766113281,269.497802734375,264.74139404296875,260.351318359375,253.49105834960938,243.2713165283203,239.2390594482422,234.05369567871094,227.98028564453125,221.1533660888672,213.8360137939453,207.29066467285156,201.53846740722656,196.1537628173828,77.78517150878906,301.2890625,528.1121215820312,759.39306640625,995.11865234375,1236.52685546875,1483.96484375,1736.88037109375,1997.368896484375,2266.500732421875,2542.30810546875,2826.204345703125,3118.530029296875,3730.818115234375,4383.27587890625,5085.3125,5843.5,6668.7890625,7574.58984375,8582.890625,9704.7265625,10319.1015625,10980.578125,11694.18359375,12469.48828125,13319.62109375,14269.8671875,15360.640625,16659.4609375,1.0750000476837158,1.350000023841858,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.1864910125732422,0.20000000298023224,-10.813949584960938,-11.767013549804688,-13.2327880859375,-14.1510009765625,-15.068374633789062,-14.932510375976562,-14.201736450195312,-12.95367431640625,-11.90472412109375,-11.59283447265625,-11.555267333984375,-11.57061767578125,-11.572647094726562,-11.7115478515625,-12.358779907226562,-13.955886840820312,-16.087005615234375,-13.464675903320312,-6.9637298583984375,-2.5139007568359375,3.0706329345703125,7.828857421875,8.03216552734375,5.095703125,2.2140655517578125,3.5977935791015625,7.4228973388671875,8.881484985351562,5.62835693359375
