_uid_,id,longitude,latitude,initialdate,days,year,month,air_level_1000,air_level_975,air_level_950,air_level_925,air_level_900,air_level_875,air_level_850,air_level_825,air_level_800,air_level_775,air_level_750,air_level_725,air_level_700,air_level_650,air_level_600,air_level_550,air_level_500,air_level_450,air_level_400,air_level_350,air_level_300,air_level_275,air_level_250,air_level_225,air_level_200,air_level_175,air_level_150,air_level_125,air_level_100,hgt_level_1000,hgt_level_975,hgt_level_950,hgt_level_925,hgt_level_900,hgt_level_875,hgt_level_850,hgt_level_825,hgt_level_800,hgt_level_775,hgt_level_750,hgt_level_725,hgt_level_700,hgt_level_650,hgt_level_600,hgt_level_550,hgt_level_500,hgt_level_450,hgt_level_400,hgt_level_350,hgt_level_300,hgt_level_275,hgt_level_250,hgt_level_225,hgt_level_200,hgt_level_175,hgt_level_150,hgt_level_125,hgt_level_100,omega_level_1000,omega_level_975,omega_level_950,omega_level_925,omega_level_900,omega_level_875,omega_level_850,omega_level_825,omega_level_800,omega_level_775,omega_level_750,omega_level_725,omega_level_700,omega_level_650,omega_level_600,omega_level_550,omega_level_500,omega_level_450,omega_level_400,omega_level_350,omega_level_300,omega_level_275,omega_level_250,omega_level_225,omega_level_200,omega_level_175,omega_level_150,omega_level_125,omega_level_100,tke_level_1000,tke_level_975,tke_level_950,tke_level_925,tke_level_900,tke_level_875,tke_level_850,tke_level_825,tke_level_800,tke_level_775,tke_level_750,tke_level_725,tke_level_700,tke_level_650,tke_level_600,vwnd_level_1000,vwnd_level_975,vwnd_level_950,vwnd_level_925,vwnd_level_900,vwnd_level_875,vwnd_level_850,vwnd_level_825,vwnd_level_800,vwnd_level_775,vwnd_level_750,vwnd_level_725,vwnd_level_700,vwnd_level_650,vwnd_level_600,vwnd_level_550,vwnd_level_500,vwnd_level_450,vwnd_level_400,vwnd_level_350,vwnd_level_300,vwnd_level_275,vwnd_level_250,vwnd_level_225,vwnd_level_200,vwnd_level_175,vwnd_level_150,vwnd_level_125,vwnd_level_100
441277.0,9032900.0,-2208096.866027961,2333108.363969138,2008-09-01,15,2008,9,296.16796875,294.13671875,292.4853515625,290.912353515625,289.5,287.8798828125,286.240478515625,284.71484375,283.754150390625,283.7197265625,283.200439453125,281.7431640625,279.945556640625,276.515869140625,274.1488037109375,272.504638671875,269.064697265625,264.13116455078125,258.2647399902344,250.54806518554688,240.9797821044922,236.6710662841797,231.6443634033203,226.67958068847656,219.76954650878906,211.90655517578125,206.3587188720703,201.8218231201172,201.8917999267578,139.1774139404297,361.52325439453125,586.548828125,815.762939453125,1049.686279296875,1288.8115234375,1533.959228515625,1783.635498046875,2041.1435546875,2305.308837890625,2578.26611328125,2860.2919921875,3149.722412109375,3756.072021484375,4401.849609375,5100.84765625,5857.4375,6680.58203125,7582.2421875,8578.4765625,9688.546875,10296.58984375,10951.25,11658.87109375,12430.0390625,13272.2734375,14216.12109375,15305.3359375,16618.93359375,-0.0715494155883789,-0.06769371032714844,-0.06290054321289062,-0.060769081115722656,-0.050894737243652344,-0.049963951110839844,-0.050230979919433594,-0.043468475341796875,-0.03796958923339844,-0.034069061279296875,-0.03606128692626953,-0.04863452911376953,-0.05969524383544922,-0.08317089080810547,-0.0800933837890625,-0.06320762634277344,-0.08336639404296875,-0.10956192016601562,-0.123321533203125,-0.07669258117675781,-0.054001808166503906,-0.08920478820800781,-0.10513114929199219,-0.07854747772216797,-0.03475379943847656,-0.007540702819824219,-0.007906913757324219,-0.012393534183502197,-0.024679124355316162,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1467287540435791,0.1999627947807312,-2.745513916015625,-2.9524993896484375,-3.107696533203125,-3.6701812744140625,-3.8828125,-3.5838165283203125,-3.113555908203125,-2.7271270751953125,-2.89483642578125,-3.9671630859375,-4.8086395263671875,-4.9242401123046875,-4.6155548095703125,-3.913055419921875,-2.71697998046875,-1.0419769287109375,0.74951171875,2.1551513671875,4.25946044921875,6.422119140625,8.26995849609375,5.8711395263671875,7.598388671875,10.553497314453125,9.83380126953125,9.951324462890625,5.2378692626953125,5.7441253662109375,6.465461730957031
494275.0,9130470.0,-1227821.154465665,2529599.341059488,2008-09-02,0,2008,9,296.00341796875,293.862060546875,291.9423828125,290.1953125,288.517822265625,286.685791015625,284.716064453125,282.70263671875,280.839599609375,280.734375,281.80078125,282.156005859375,281.12353515625,279.04931640625,276.4971923828125,273.2828674316406,269.3116149902344,263.93878173828125,257.05133056640625,249.89056396484375,241.2679443359375,236.14613342285156,231.00279235839844,225.70889282226562,220.3760223388672,214.34703063964844,206.0153350830078,203.16781616210938,202.93983459472656,118.15745544433594,339.6242370605469,564.927001953125,793.62109375,1026.90185546875,1265.388671875,1509.832275390625,1758.625244140625,2013.702880859375,2275.229248046875,2546.1728515625,2826.914306640625,3117.457275390625,3726.0439453125,4378.197265625,5080.13671875,5838.796875,6663.4140625,7562.44921875,8554.3671875,9664.2421875,10272.55078125,10924.7109375,11629.55859375,12399.2578125,13251.04296875,14199.5,15288.26171875,16612.1171875,0.014386177062988281,0.06831645965576172,0.11865043640136719,0.14865875244140625,0.16361331939697266,0.17582225799560547,0.20294666290283203,0.22409915924072266,0.217620849609375,0.172698974609375,0.11762523651123047,0.060837745666503906,0.023740768432617188,-0.005191802978515625,0.013402938842773438,0.03939533233642578,0.018224716186523438,-0.02270221710205078,-0.05323505401611328,-0.06676197052001953,-0.044663429260253906,-0.04657554626464844,-0.06545066833496094,-0.06671619415283203,-0.04186820983886719,-0.018553733825683594,0.0013828277587890625,0.015215814113616943,0.012040138244628906,0.5,0.4749999940395355,0.25,0.25,0.25,0.20000000298023224,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.20392751693725586,0.199763685464859,-1.581573486328125,-1.6584930419921875,-1.9169464111328125,-2.69659423828125,-3.9425811767578125,-5.461029052734375,-7.1222991943359375,-8.32470703125,-8.706832885742188,-8.257003784179688,-8.213150024414062,-8.599334716796875,-9.39471435546875,-10.882614135742188,-10.919723510742188,-8.059814453125,-4.92156982421875,-0.5520782470703125,2.3655548095703125,8.76934814453125,11.498626708984375,12.520095825195312,12.635528564453125,11.56231689453125,15.638641357421875,16.12652587890625,13.094085693359375,8.660995483398438,5.19769287109375
493688.0,9129490.0,-2243256.5376553293,2210397.8097759327,2008-09-03,0,2008,9,296.298095703125,294.074462890625,291.947021484375,290.17236328125,288.28369140625,286.640625,285.111328125,283.41796875,281.678955078125,280.019287109375,278.789794921875,279.04248046875,279.499267578125,279.54205322265625,277.87945556640625,274.0167236328125,271.30517578125,266.13824462890625,259.30499267578125,250.95205688476562,241.29364013671875,235.88436889648438,231.60609436035156,227.671875,220.7023468017578,212.8226318359375,206.256591796875,203.4439239501953,201.52879333496094,115.76806640625,336.419921875,561.520751953125,790.3046875,1023.914306640625,1262.66064453125,1507.00927734375,1755.681884765625,2011.688720703125,2273.780029296875,2542.423583984375,2819.22607421875,3107.098388671875,3715.290771484375,4369.6083984375,5072.453125,5835.24609375,6665.05078125,7571.796875,8570.55859375,9682.359375,10290.4453125,10942.46875,11651.375,12426.43359375,13273.25390625,14218.58203125,15309.859375,16632.08203125,0.09426623582839966,0.12671947479248047,0.15027141571044922,0.17429828643798828,0.1916027069091797,0.20168209075927734,0.1980905532836914,0.19092655181884766,0.19232559204101562,0.19281387329101562,0.18709182739257812,0.17232894897460938,0.14302730560302734,0.07232379913330078,-0.013869285583496094,-0.06438255310058594,-0.03629589080810547,-0.010033607482910156,0.03212261199951172,0.03619575500488281,-0.0013637542724609375,-0.03975677490234375,-0.0916290283203125,-0.1338634490966797,-0.10995006561279297,-0.054721832275390625,-0.025402069091796875,-0.030331313610076904,-0.02982431650161743,0.75,0.824999988079071,0.4749999940395355,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.19742783904075623,0.19997473061084747,-2.9156341552734375,-2.926849365234375,-2.85650634765625,-1.9711456298828125,-1.6051177978515625,0.1849517822265625,0.749267578125,0.3007965087890625,-0.2840576171875,-0.534881591796875,-0.45819091796875,-1.510284423828125,-3.86724853515625,-11.0994873046875,-18.202255249023438,-16.125808715820312,-5.8712615966796875,1.293975830078125,4.662139892578125,6.499542236328125,9.461761474609375,11.205169677734375,12.694961547851562,12.246841430664062,11.602813720703125,11.586624145507812,11.462432861328125,8.399063110351562,7.5045013427734375
494314.0,9130538.0,-1126736.5288955062,2499833.12507714,2008-09-01,4,2008,9,296.12109375,294.29296875,292.4541015625,290.584228515625,289.03125,287.7080078125,286.037353515625,284.37109375,283.207275390625,283.3134765625,283.075439453125,281.5869140625,279.789306640625,276.265869140625,274.1019287109375,272.801513671875,268.783447265625,264.11553955078125,257.9678649902344,250.28244018554688,241.0266571044922,236.1085662841797,230.8474884033203,226.33583068847656,219.84767150878906,212.68780517578125,206.2337188720703,202.0405731201172,202.1886749267578,142.6774139404297,364.52325439453125,589.548828125,818.762939453125,1053.186279296875,1291.8115234375,1536.959228515625,1786.635498046875,2043.6435546875,2307.308837890625,2580.26611328125,2861.7919921875,3151.222412109375,3757.072021484375,4402.349609375,5101.34765625,5858.9375,6682.08203125,7583.2421875,8578.4765625,9688.046875,10296.08984375,10947.75,11654.37109375,12424.0390625,13269.2734375,14213.62109375,15302.8359375,16618.93359375,-0.0832681655883789,-0.06769371032714844,-0.051181793212890625,-0.033425331115722656,-0.015738487243652344,-0.010901451110839844,-0.015074729919433594,-0.023937225341796875,-0.04187583923339844,-0.06531906127929688,-0.08684253692626953,-0.09941577911376953,-0.10657024383544922,-0.12613964080810547,-0.1035308837890625,-0.05930137634277344,-0.07164764404296875,-0.12128067016601562,-0.158477783203125,-0.1430988311767578,-0.0969705581665039,-0.05795478820800781,-0.027006149291992188,-0.02385997772216797,-0.019128799438476562,-0.02707195281982422,-0.01571941375732422,0.007137715816497803,-0.012960374355316162,0.5,0.2750000059604645,0.22499999403953552,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1467287540435791,0.1999627947807312,-2.214263916015625,-2.2962493896484375,-2.342071533203125,-2.3576812744140625,-2.3203125,-2.0838165283203125,-1.676055908203125,-1.5240020751953125,-2.22296142578125,-3.2327880859375,-3.8711395263671875,-3.6742401123046875,-2.9593048095703125,-2.116180419921875,-1.73260498046875,0.3173980712890625,3.12451171875,3.4832763671875,5.99383544921875,8.515869140625,8.37933349609375,7.7461395263671875,9.020263671875,12.537872314453125,11.84942626953125,7.748199462890625,2.7378692626953125,4.8222503662109375,5.574836730957031
494261.0,9130454.0,-1378317.8053942155,2751899.429897033,2008-09-03,7,2008,9,296.188720703125,294.011962890625,292.103271484375,290.46923828125,288.65869140625,287.484375,286.048828125,284.41796875,282.710205078125,281.128662109375,281.180419921875,282.30810546875,281.889892578125,279.58892822265625,274.97320556640625,271.6573486328125,268.18017578125,263.24761962890625,257.55499267578125,250.15518188476562,241.27801513671875,236.39999389648438,231.40296936035156,225.765625,219.3273468017578,214.4945068359375,205.787841796875,202.7407989501953,201.62254333496094,125.76806640625,347.919921875,572.520751953125,801.3046875,1034.414306640625,1273.66064453125,1518.50927734375,1768.681884765625,2025.688720703125,2288.280029296875,2558.423583984375,2838.72607421875,3129.598388671875,3740.290771484375,4391.6083984375,5088.453125,5843.24609375,6664.55078125,7563.296875,8557.55859375,9667.359375,10275.9453125,10928.96875,11635.375,12401.93359375,13253.25390625,14201.58203125,15288.359375,16607.08203125,0.016141235828399658,0.03687572479248047,0.06433391571044922,0.08836078643798828,0.11347770690917969,0.13918209075927734,0.1473093032836914,0.14014530181884766,0.12591934204101562,0.10297012329101562,0.07381057739257812,0.039516448974609375,0.010214805603027344,-0.02533245086669922,0.005661964416503906,0.017648696899414062,-0.02067089080810547,-0.053002357482910156,-0.05381488800048828,-0.03411674499511719,-0.03652000427246094,-0.03585052490234375,-0.0174102783203125,-0.016675949096679688,-0.07088756561279297,-0.12112808227539062,-0.07227706909179688,-0.018612563610076904,-0.010293066501617432,0.625,0.6499999761581421,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.19742783904075623,0.19997473061084747,-1.3531341552734375,-1.442474365234375,-1.57525634765625,-1.6430206298828125,-1.6207427978515625,-1.7681732177734375,-2.672607421875,-3.6054534912109375,-4.2996826171875,-4.831756591796875,-5.00506591796875,-4.760284423828125,-5.64849853515625,-9.0057373046875,-7.7335052490234375,-1.0320587158203125,4.3787384033203125,7.543975830078125,11.787139892578125,13.671417236328125,13.727386474609375,14.955169677734375,16.398086547851562,17.168716430664062,18.837188720703125,14.914749145507812,11.524932861328125,8.492813110351562,7.1451263427734375
494260.0,9130453.0,-1363923.0361134023,2674831.9338280866,2008-09-03,3,2008,9,295.891845703125,293.761962890625,291.947021484375,290.48486328125,288.72119140625,287.1875,285.611328125,283.90234375,282.147705078125,280.441162109375,281.102294921875,282.57373046875,282.014892578125,280.01080322265625,275.45758056640625,272.1573486328125,268.88330078125,263.77886962890625,258.02374267578125,250.31143188476562,241.15301513671875,236.30624389648438,231.48109436035156,226.296875,220.0148468017578,213.0257568359375,206.319091796875,202.8970489501953,201.49754333496094,122.76806640625,344.419921875,569.020751953125,797.8046875,1030.914306640625,1270.16064453125,1515.00927734375,1764.681884765625,2020.688720703125,2282.780029296875,2552.423583984375,2832.72607421875,3124.098388671875,3734.790771484375,4387.1083984375,5085.453125,5841.74609375,6664.55078125,7564.796875,8560.05859375,9670.359375,10278.9453125,10931.96875,11638.875,12408.93359375,13255.75390625,14201.58203125,15291.859375,16611.08203125,0.012234985828399658,0.02906322479248047,0.04089641571044922,0.04539203643798828,0.05879020690917969,0.07668209075927734,0.0965280532836914,0.10108280181884766,0.10248184204101562,0.09125137329101562,0.06990432739257812,0.051235198974609375,0.037558555603027344,0.013730049133300781,0.025193214416503906,0.017648696899414062,-0.02848339080810547,-0.06472110748291016,-0.06943988800048828,-0.06536674499511719,-0.08339500427246094,-0.08663177490234375,-0.0681915283203125,-0.03230094909667969,0.011143684387207031,0.011684417724609375,-0.013683319091796875,-0.018612563610076904,-0.014199316501617432,0.574999988079071,0.574999988079071,0.22499999403953552,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.19742783904075623,0.19997473061084747,-1.9156341552734375,-1.989349365234375,-2.13775634765625,-2.0648956298828125,-1.8394927978515625,-1.8931732177734375,-2.453857421875,-3.1367034912109375,-3.6121826171875,-3.722381591796875,-3.67694091796875,-4.416534423828125,-6.33599853515625,-11.3651123046875,-11.061630249023438,-4.5008087158203125,1.1756134033203125,5.434600830078125,10.459014892578125,12.358917236328125,12.930511474609375,13.236419677734375,14.351211547851562,17.090591430664062,18.602813720703125,13.680374145507812,10.071807861328125,8.352188110351562,7.7857513427734375
494268.0,9130461.0,-965811.9411870468,2593988.459213265,2008-09-03,4,2008,9,295.766845703125,293.746337890625,291.962646484375,290.45361328125,288.67431640625,287.03125,285.408203125,283.66796875,281.835205078125,280.206787109375,280.977294921875,282.40185546875,281.936767578125,280.26080322265625,275.75445556640625,272.4229736328125,269.30517578125,264.15386962890625,258.30499267578125,250.40518188476562,241.10614013671875,236.10311889648438,231.43421936035156,226.859375,220.4210968017578,212.5882568359375,206.256591796875,202.9595489501953,201.49754333496094,120.76806640625,342.419921875,567.020751953125,795.8046875,1028.914306640625,1268.16064453125,1513.00927734375,1762.181884765625,2018.188720703125,2279.780029296875,2549.423583984375,2829.72607421875,3120.598388671875,3731.790771484375,4384.1083984375,5083.453125,5840.74609375,6664.55078125,7565.796875,8562.05859375,9671.859375,10280.4453125,10932.96875,11639.875,12412.93359375,13258.75390625,14204.08203125,15293.859375,16613.58203125,0.03957873582839966,0.06031322479248047,0.07605266571044922,0.08054828643798828,0.09004020690917969,0.10793209075927734,0.1199655532836914,0.12452030181884766,0.12201309204101562,0.11078262329101562,0.10115432739257812,0.09811019897460938,0.09615230560302734,0.07623004913330078,0.0642557144165039,0.04499244689941406,-0.005045890808105469,-0.033471107482910156,-0.03037738800048828,-0.026304244995117188,-0.04823875427246094,-0.06710052490234375,-0.0916290283203125,-0.10261344909667969,-0.06307506561279297,-0.027378082275390625,-0.017589569091796875,-0.010800063610076904,-0.006386816501617432,0.44999998807907104,0.20000000298023224,0.22499999403953552,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.19742783904075623,0.19997473061084747,-2.1500091552734375,-2.270599365234375,-2.40338134765625,-2.1430206298828125,-1.7613677978515625,-1.7369232177734375,-2.141357421875,-2.7460784912109375,-3.1278076171875,-3.050506591796875,-2.97381591796875,-4.182159423828125,-6.55474853515625,-12.2244873046875,-12.499130249023438,-6.1726837158203125,-0.1368865966796875,4.684600830078125,9.834014892578125,11.702667236328125,12.836761474609375,12.830169677734375,13.273086547851562,16.184341430664062,18.180938720703125,14.602249145507812,11.149932861328125,8.664688110351562,8.160751342773438
441265.0,9032885.0,-2274774.3650154984,2370197.212077208,2008-09-03,18,2008,9,296.063720703125,293.855712890625,291.822021484375,290.04736328125,288.45556640625,286.84375,285.126953125,283.33984375,281.507080078125,279.738037109375,279.196044921875,280.80810546875,281.124267578125,280.38580322265625,277.05133056640625,273.3917236328125,270.39892578125,265.41949462890625,258.96124267578125,250.71768188476562,241.19989013671875,235.94686889648438,231.44984436035156,227.484375,220.5773468017578,212.6351318359375,206.272216796875,203.1782989501953,201.52879333496094,117.76806640625,338.419921875,563.520751953125,792.3046875,1025.414306640625,1264.16064453125,1508.50927734375,1757.681884765625,2013.688720703125,2275.280029296875,2543.423583984375,2821.72607421875,3111.598388671875,3722.290771484375,4376.6083984375,5077.953125,5837.24609375,6665.05078125,7570.296875,8567.55859375,9678.859375,10286.9453125,10938.96875,11646.875,12421.43359375,13267.75390625,14212.58203125,15303.859375,16624.08203125,0.03176623582839966,0.05250072479248047,0.07214641571044922,0.10007953643798828,0.1251964569091797,0.12746334075927734,0.1316843032836914,0.14014530181884766,0.15326309204101562,0.16937637329101562,0.18709182739257812,0.18795394897460938,0.18208980560302734,0.15435504913330078,0.0915994644165039,0.05280494689941406,0.02229785919189453,0.021216392517089844,0.03602886199951172,0.028383255004882812,-0.0013637542724609375,-0.01241302490234375,-0.0447540283203125,-0.09870719909667969,-0.10604381561279297,-0.058628082275390625,-0.029308319091796875,-0.026425063610076904,-0.02201181650161743,0.6000000238418579,0.675000011920929,0.3499999940395355,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.19742783904075623,0.19997473061084747,-2.1031341552734375,-2.145599365234375,-2.21588134765625,-2.2836456298828125,-1.9019927978515625,-1.8619232177734375,-2.125732421875,-2.1367034912109375,-1.5340576171875,-0.784881591796875,-1.30194091796875,-3.479034423828125,-6.22662353515625,-12.8338623046875,-17.749130249023438,-13.235183715820312,-5.1056365966796875,2.372100830078125,6.662139892578125,8.343292236328125,11.149261474609375,12.517669677734375,13.382461547851562,14.090591430664062,14.571563720703125,14.149124145507812,12.899932861328125,8.680313110351562,8.379501342773438
494062.0,9130098.0,-1882428.2715959952,2887777.0735435854,2008-09-01,0,2008,9,296.57421875,294.66796875,292.9072265625,290.990478515625,289.15625,287.3330078125,285.537353515625,283.69921875,281.769775390625,281.5166015625,281.825439453125,281.3369140625,279.820556640625,276.109619140625,273.8831787109375,272.145263671875,268.658447265625,263.75616455078125,256.7022399902344,248.79806518554688,240.3704071044922,235.7335662841797,231.0349884033203,226.08583068847656,220.33204650878906,213.98468017578125,207.5149688720703,202.8999481201172,202.4855499267578,141.1774139404297,364.02325439453125,589.548828125,819.262939453125,1054.186279296875,1292.8115234375,1537.959228515625,1787.635498046875,2044.6435546875,2306.808837890625,2578.26611328125,2858.7919921875,3148.222412109375,3753.072021484375,4397.849609375,5094.84765625,5850.4375,6674.08203125,7572.7421875,8561.4765625,9666.046875,10272.58984375,10924.25,11630.37109375,12400.5390625,13249.7734375,14200.12109375,15295.3359375,16614.93359375,-0.032486915588378906,-0.08722496032714844,-0.13711929321289062,-0.17014408111572266,-0.17980098724365234,-0.15933895111083984,-0.1166372299194336,-0.055187225341796875,-0.0028133392333984375,0.016712188720703125,0.01862621307373047,0.01777172088623047,0.010617256164550781,-0.012858390808105469,-0.0097808837890625,0.026636123657226562,0.03772735595703125,0.034969329833984375,0.036834716796875,0.03658866882324219,0.043654441833496094,0.04360771179199219,0.04330635070800781,0.04254627227783203,0.03555870056152344,0.02761554718017578,0.01943683624267578,0.011043965816497803,0.002664625644683838,0.25,0.20000000298023224,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1467287540435791,0.1999627947807312,-1.120513916015625,-0.9056243896484375,-0.263946533203125,0.2204437255859375,0.5859375,0.4943084716796875,0.042694091796875,-0.3677520751953125,-0.50421142578125,-0.4671630859375,-0.0742645263671875,0.8257598876953125,2.1969451904296875,4.368194580078125,4.97052001953125,5.8486480712890625,6.85888671875,8.4364013671875,8.29071044921875,11.672119140625,13.09808349609375,13.027389526367188,12.395263671875,11.819122314453125,11.17755126953125,7.654449462890625,5.3784942626953125,4.8222503662109375,2.8248367309570312
493759.0,9129635.0,-2203267.869367232,1636712.888845132,2008-09-02,1,2008,9,297.33154296875,295.283935546875,293.2392578125,291.4921875,289.595947265625,288.060791015625,286.731689453125,285.42138671875,284.667724609375,284.75,283.70703125,282.077880859375,280.23291015625,277.03369140625,274.9503173828125,272.3453674316406,268.8741149902344,264.50128173828125,258.80133056640625,251.54681396484375,242.2679443359375,237.25550842285156,232.51841735839844,227.94326782226562,220.8291473388672,213.65953063964844,205.7653350830078,202.77719116210938,201.18983459472656,94.15745544433594,316.6242370605469,542.427001953125,772.62109375,1007.40185546875,1246.888671875,1492.832275390625,1743.125244140625,2001.202880859375,2267.229248046875,2540.6728515625,2822.414306640625,3111.957275390625,3718.0439453125,4365.197265625,5064.13671875,5820.296875,6644.4140625,7546.94921875,8546.3671875,9661.7421875,10272.55078125,10928.7109375,11638.55859375,12413.7578125,13264.54296875,14211.0,15297.76171875,16616.1171875,-0.11061382293701172,-0.06449604034423828,-0.021974563598632812,0.01584625244140625,0.042519569396972656,0.05082225799560547,0.03497791290283203,-0.029807090759277344,-0.110504150390625,-0.186676025390625,-0.22612476348876953,-0.2282247543334961,-0.2262592315673828,-0.22003555297851562,-0.23269081115722656,-0.23404216766357422,-0.17318153381347656,-0.05395221710205078,0.04832744598388672,0.06214427947998047,0.010024070739746094,-0.011419296264648438,-0.030294418334960938,-0.02374744415283203,0.03625679016113281,0.036133766174316406,-0.03767967224121094,-0.06290918588638306,-0.062178611755371094,0.4749999940395355,0.42500001192092896,0.25,0.5,0.25,0.20000000298023224,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.20392751693725586,0.199763685464859,-1.097198486328125,-1.1428680419921875,-1.4481964111328125,-1.77471923828125,-2.1769561767578125,-3.148529052734375,-4.1066741943359375,-3.77783203125,-2.5818328857421875,-0.9757537841796875,-0.9944000244140625,-2.661834716796875,-4.95721435546875,-8.882614135742188,-11.966598510742188,-13.934814453125,-10.96844482421875,-3.5364532470703125,-0.6031951904296875,3.25372314453125,5.576751708984375,6.4419708251953125,8.088653564453125,11.07794189453125,11.966766357421875,9.87652587890625,8.297210693359375,7.1609954833984375,6.80706787109375
