_uid_,id,longitude,latitude,initialdate,days,year,month,air_level_1000,air_level_975,air_level_950,air_level_925,air_level_900,air_level_875,air_level_850,air_level_825,air_level_800,air_level_775,air_level_750,air_level_725,air_level_700,air_level_650,air_level_600,air_level_550,air_level_500,air_level_450,air_level_400,air_level_350,air_level_300,air_level_275,air_level_250,air_level_225,air_level_200,air_level_175,air_level_150,air_level_125,air_level_100,hgt_level_1000,hgt_level_975,hgt_level_950,hgt_level_925,hgt_level_900,hgt_level_875,hgt_level_850,hgt_level_825,hgt_level_800,hgt_level_775,hgt_level_750,hgt_level_725,hgt_level_700,hgt_level_650,hgt_level_600,hgt_level_550,hgt_level_500,hgt_level_450,hgt_level_400,hgt_level_350,hgt_level_300,hgt_level_275,hgt_level_250,hgt_level_225,hgt_level_200,hgt_level_175,hgt_level_150,hgt_level_125,hgt_level_100,omega_level_1000,omega_level_975,omega_level_950,omega_level_925,omega_level_900,omega_level_875,omega_level_850,omega_level_825,omega_level_800,omega_level_775,omega_level_750,omega_level_725,omega_level_700,omega_level_650,omega_level_600,omega_level_550,omega_level_500,omega_level_450,omega_level_400,omega_level_350,omega_level_300,omega_level_275,omega_level_250,omega_level_225,omega_level_200,omega_level_175,omega_level_150,omega_level_125,omega_level_100,tke_level_1000,tke_level_975,tke_level_950,tke_level_925,tke_level_900,tke_level_875,tke_level_850,tke_level_825,tke_level_800,tke_level_775,tke_level_750,tke_level_725,tke_level_700,tke_level_650,tke_level_600
39697.0,3393876.0,-1736443.7402356977,1362967.860374959,2004-03-09,9,2004,3,295.8238220214844,293.7184143066406,291.8668212890625,290.44879150390625,289.400390625,287.86773681640625,286.538330078125,285.5047607421875,284.34893798828125,282.96441650390625,281.5140686035156,279.87664794921875,278.20849609375,275.5083312988281,273.16632080078125,270.9483642578125,268.74420166015625,263.72869873046875,256.7004699707031,248.44833374023438,241.4170379638672,237.50360107421875,233.005126953125,228.04397583007812,223.3483123779297,218.02105712890625,208.8583984375,200.79824829101562,195.50418090820312,115.834716796875,336.2926330566406,561.70263671875,789.82421875,1023.935546875,1264.254638671875,1509.737548828125,1760.609375,2019.16064453125,2283.922119140625,2556.236328125,2835.891357421875,3124.1669921875,3727.496826171875,4372.66845703125,5068.0,5822.3828125,6645.80078125,7545.5234375,8532.87109375,9638.3828125,10248.86328125,10905.8515625,11616.9296875,12396.453125,13261.69921875,14225.0,15317.81640625,16608.8984375,-0.0410037636756897,0.03603839874267578,0.09352779388427734,0.09353160858154297,0.057793617248535156,0.020582199096679688,-0.02767658233642578,-0.06795787811279297,-0.09410285949707031,-0.10256671905517578,-0.11030864715576172,-0.12601280212402344,-0.1400470733642578,-0.16265869140625,-0.14806556701660156,-0.1029062271118164,-0.14620304107666016,-0.1558361053466797,-0.1327066421508789,-0.10586071014404297,-0.0963897705078125,-0.06525230407714844,-0.0205230712890625,-0.01880168914794922,-0.10894107818603516,-0.16946125030517578,-0.13082504272460938,-0.07366275787353516,-0.03869318962097168,0.75,0.5,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.1922590732574463,0.19998398423194885
39706.0,3393871.0,-1646868.929341338,1347470.163601008,2004-03-07,9,2004,3,297.3455810546875,295.06793212890625,292.9070129394531,291.3406677246094,289.2188415527344,287.4849853515625,286.4326171875,285.59088134765625,284.3804931640625,283.4630126953125,282.7738342285156,281.767578125,280.8621826171875,279.3199157714844,276.90435791015625,273.49407958984375,269.5821228027344,265.49334716796875,259.34613037109375,250.86439514160156,242.43626403808594,238.03958129882812,233.94419860839844,229.10928344726562,222.8811492919922,215.91259765625,208.24888610839844,200.54283142089844,193.8914794921875,115.6826171875,337.7561340332031,563.0625,793.185302734375,1027.8828125,1267.064208984375,1512.487060546875,1762.996337890625,2021.714111328125,2286.53515625,2558.87548828125,2840.084716796875,3129.8466796875,3739.17236328125,4391.650390625,5093.76171875,5852.19140625,6678.26953125,7584.375,8582.84765625,9695.859375,10307.87890625,10966.70703125,11681.41796875,12462.2578125,13320.65234375,14277.984375,15369.22265625,16656.05078125,0.06399136781692505,0.08570384979248047,0.10643386840820312,0.12363815307617188,0.1317453384399414,0.15649986267089844,0.17876815795898438,0.15969181060791016,0.12682342529296875,0.09952640533447266,0.08321285247802734,0.07597923278808594,0.07265090942382812,0.06396484375,0.05301475524902344,0.046301841735839844,0.02155017852783203,-0.013690948486328125,-0.025510787963867188,-0.02700519561767578,-0.04728221893310547,-0.08227252960205078,-0.09714031219482422,-0.09277379512786865,-0.07841116189956665,-0.05557286739349365,-0.042366981506347656,-0.04961419105529785,-0.04121732711791992,1.125,0.75,0.75,1.0,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1528974175453186,0.19499215483665466
39697.0,3393876.0,-1745344.6614505672,1270165.2599201885,2004-03-11,9,2004,3,298.17730712890625,295.98822021484375,293.89337158203125,292.257568359375,290.8172607421875,289.32354736328125,287.7560729980469,286.10382080078125,284.4018859863281,282.806640625,282.8878173828125,283.4945373535156,282.5932922363281,278.83648681640625,274.67694091796875,271.12811279296875,266.17327880859375,259.98046875,253.84829711914062,247.4561004638672,240.8643798828125,237.1510009765625,232.76576232910156,227.21958923339844,222.5244598388672,217.1202392578125,210.85296630859375,201.19554138183594,201.06358337402344,87.88938903808594,310.9111022949219,537.2425537109375,768.18798828125,1003.798828125,1244.4462890625,1491.484619140625,1743.257080078125,2001.2763671875,2266.576171875,2538.12255859375,2820.55078125,3112.493408203125,3723.4990234375,4373.2568359375,5069.72265625,5820.796875,6633.12109375,7518.55859375,8499.41015625,9601.86328125,10210.8359375,10866.75,11576.92578125,12352.90625,13213.3984375,14178.8984375,15281.27734375,16583.203125,0.06024235486984253,0.05514717102050781,0.054757118225097656,0.038748741149902344,0.006058692932128906,0.004851341247558594,0.013453483581542969,0.01884746551513672,0.029600143432617188,0.03735828399658203,0.02696704864501953,0.0038537979125976562,-0.016106605529785156,-0.022215843200683594,-0.04979705810546875,-0.07642745971679688,-0.09864521026611328,-0.14863967895507812,-0.17079925537109375,-0.046718597412109375,0.14190387725830078,0.18006229400634766,0.13708209991455078,0.10822677612304688,0.11332511901855469,0.10747432708740234,0.10753029584884644,0.05080890655517578,-0.008471131324768066,0.5,1.125,1.25,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.19991350173950195,0.19671936333179474
39697.0,3393876.0,-1787595.4049864186,1350335.8049714705,2004-03-03,9,2004,3,298.1634521484375,295.96240234375,294.1057434082031,292.2294921875,290.3053894042969,288.9158020019531,287.2894287109375,285.5677490234375,284.4894104003906,284.6979675292969,283.8228759765625,282.25384521484375,280.5252685546875,277.22149658203125,274.29278564453125,271.6329040527344,268.0846252441406,262.97296142578125,256.811767578125,250.3311309814453,242.33535766601562,237.9437255859375,233.1553497314453,227.71849060058594,221.41078186035156,214.37001037597656,206.5662841796875,200.4106903076172,195.63404846191406,95.22412109375,318.24188232421875,545.212158203125,775.609130859375,1011.521240234375,1251.912353515625,1498.28564453125,1749.0322265625,2007.146240234375,2272.591796875,2547.00439453125,2828.74169921875,3119.25537109375,3727.08056640625,4374.71044921875,5072.33203125,5826.578125,6647.8984375,7543.8515625,8536.4453125,9649.01953125,10261.13671875,10918.72265625,11630.49609375,12405.69921875,13258.44921875,14208.24609375,15293.12109375,16584.85546875,0.019929945468902588,0.06424713134765625,0.10532665252685547,0.12255668640136719,0.10270023345947266,0.0871267318725586,0.05728340148925781,0.030028343200683594,0.025984764099121094,0.0228118896484375,0.009240150451660156,-0.005539894104003906,-0.0138092041015625,-0.01921558380126953,-0.04013633728027344,-0.08861637115478516,-0.10990619659423828,-0.12273788452148438,-0.12068462371826172,-0.11434459686279297,-0.10779190063476562,-0.10396766662597656,-0.09096813201904297,-0.06493091583251953,-0.059083521366119385,-0.06034475564956665,-0.04452717304229736,-0.021610736846923828,-0.015088796615600586,0.75,0.75,0.4000000059604645,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.2039976269006729,0.199994757771492
7.0,3393878.0,-1702402.1713125498,1388967.9111123995,2004-03-12,0,2004,3,298.56854248046875,296.5834655761719,294.8363037109375,293.2357177734375,291.21844482421875,289.43231201171875,287.3136901855469,285.4256286621094,284.57666015625,283.95989990234375,283.3267822265625,282.52838134765625,281.66632080078125,279.3080749511719,274.53106689453125,269.334228515625,265.3956604003906,260.10614013671875,253.7816162109375,247.4397430419922,240.41465759277344,236.50186157226562,232.3612823486328,227.36358642578125,222.96229553222656,217.65005493164062,211.11111450195312,202.4675750732422,199.21983337402344,75.42460632324219,299.1278991699219,526.31689453125,758.0908203125,994.969970703125,1236.408447265625,1483.23095703125,1734.999267578125,1992.5029296875,2258.873779296875,2532.468505859375,2814.1728515625,3104.85107421875,3715.8857421875,4366.033203125,5059.5830078125,5806.72265625,6618.38671875,7505.9140625,8486.59765625,9588.50390625,10196.40625,10851.23828125,11560.62109375,12337.6953125,13200.14453125,14167.7734375,15273.29296875,16578.2734375,-0.06728506088256836,-0.12347698211669922,-0.17875289916992188,-0.19392776489257812,-0.18207359313964844,-0.13717365264892578,-0.07796382904052734,-0.0057830810546875,0.04879474639892578,0.04766273498535156,0.02438831329345703,0.004044532775878906,-0.02323436737060547,-0.07280349731445312,-0.083526611328125,-0.07338714599609375,-0.10819053649902344,-0.029787063598632812,0.07188987731933594,0.06132316589355469,-0.01244354248046875,-0.027269363403320312,0.013952255249023438,0.058928489685058594,0.023749828338623047,-0.03009086847305298,-0.016053974628448486,-0.034352660179138184,-0.04285144805908203,0.5,0.5,0.875,1.0,1.0,0.75,0.5,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.12711858749389648,0.19998368620872498
39705.0,3393868.0,-2071979.2939009,1578867.8810237856,2004-03-06,11,2004,3,297.34088134765625,295.1864013671875,293.0669860839844,291.18646240234375,289.56329345703125,288.23553466796875,286.771484375,285.19354248046875,283.5963134765625,282.1627502441406,282.0903625488281,282.16680908203125,281.5413818359375,280.0695495605469,277.67010498046875,273.5826416015625,268.8417053222656,264.4600830078125,258.733154296875,249.9091796875,241.4144744873047,237.23727416992188,233.01026916503906,228.01593017578125,223.39132690429688,216.5595245361328,207.82427978515625,201.13523864746094,194.70877075195312,107.1513671875,328.93212890625,554.7919921875,784.46142578125,1019.34619140625,1259.63134765625,1505.3388671875,1756.1884765625,2013.7802734375,2277.674072265625,2548.50146484375,2830.02587890625,3120.275634765625,3731.3330078125,4386.3359375,5089.35546875,5847.234375,6669.91796875,7573.3359375,8569.05859375,9677.45703125,10287.62890625,10944.08984375,11655.69921875,12435.3359375,13296.79296875,14254.60546875,15344.671875,16637.44921875,-0.049143195152282715,-0.05412864685058594,-0.05940723419189453,-0.06969547271728516,-0.05425834655761719,-0.03167438507080078,-0.012498855590820312,-0.004271507263183594,-0.006072044372558594,0.009283065795898438,0.02524280548095703,0.028021812438964844,0.03051471710205078,0.05434608459472656,0.10994625091552734,0.14459800720214844,0.1478872299194336,0.1147918701171875,0.09034156799316406,0.07018184661865234,0.023528099060058594,0.015898704528808594,0.02332019805908203,0.03819751739501953,-0.011174201965332031,-0.038439393043518066,-0.033637285232543945,-0.04245758056640625,-0.04105097055435181,0.7749999761581421,1.0,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.19985714554786682,0.19840660691261292
39705.0,3393868.0,-2091930.4080963505,1635727.401879053,2004-03-06,11,2004,3,297.29400634765625,295.1239013671875,292.9419860839844,291.20208740234375,289.61016845703125,288.25115966796875,286.771484375,285.17791748046875,283.5806884765625,282.0846252441406,282.1528625488281,282.26055908203125,281.5882568359375,280.0382995605469,277.60760498046875,273.6451416015625,268.9667053222656,264.4757080078125,258.608154296875,249.8310546875,241.4144744873047,237.22164916992188,232.94776916503906,228.07843017578125,223.42257690429688,216.5126495361328,207.77740478515625,201.02586364746094,194.64627075195312,107.6513671875,329.43212890625,555.2919921875,784.96142578125,1019.84619140625,1260.13134765625,1505.8388671875,1756.6884765625,2014.2802734375,2277.674072265625,2549.00146484375,2830.52587890625,3120.775634765625,3731.8330078125,4386.3359375,5089.85546875,5847.734375,6670.41796875,7573.8359375,8569.05859375,9677.45703125,10287.62890625,10943.58984375,11655.19921875,12435.3359375,13296.79296875,14254.10546875,15344.171875,16635.94921875,-0.049143195152282715,-0.05803489685058594,-0.06721973419189453,-0.06969547271728516,-0.05425834655761719,-0.03558063507080078,-0.016405105590820312,-0.004271507263183594,0.0017404556274414062,0.021001815795898438,0.03305530548095703,0.031928062438964844,0.02660846710205078,0.05043983459472656,0.10213375091552734,0.13678550720214844,0.1400747299194336,0.1108856201171875,0.09034156799316406,0.06627559661865234,0.019621849060058594,0.004179954528808594,0.011601448059082031,0.01866626739501953,-0.02679920196533203,-0.050158143043518066,-0.041449785232543945,-0.04245758056640625,-0.04105097055435181,0.75,1.0,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.19985714554786682,0.19840660691261292
39702.0,3393886.0,-1845878.3136795517,1265462.9362226129,2004-03-21,8,2004,3,298.6952819824219,296.5239562988281,294.471923828125,292.7270812988281,291.4670104980469,290.02777099609375,288.337158203125,286.7610168457031,285.4307861328125,284.2422180175781,283.1796569824219,282.1290283203125,281.0812072753906,278.833740234375,276.0508728027344,272.78558349609375,268.83148193359375,262.63482666015625,257.33612060546875,250.95703125,243.4079132080078,238.35829162597656,233.47950744628906,228.41668701171875,223.0978546142578,215.3177490234375,207.97084045410156,200.8679962158203,196.73880004882812,71.301513671875,294.7220153808594,521.535400390625,752.661376953125,988.902099609375,1230.72314453125,1476.8505859375,1730.498291015625,1989.0634765625,2256.17431640625,2529.65087890625,2811.59912109375,3102.21923828125,3712.531982421875,4364.6806640625,5065.95703125,5823.16015625,6644.18359375,7542.10546875,8537.125,9653.92578125,10268.9921875,10927.2734375,11639.99609375,12418.6875,13276.890625,14232.02734375,15323.23046875,16618.3515625,-0.10943639278411865,-0.07207870483398438,-0.04317760467529297,-0.02828693389892578,-0.03757667541503906,-0.04314708709716797,-0.06241607666015625,-0.09773826599121094,-0.12980079650878906,-0.14068222045898438,-0.1350383758544922,-0.13216876983642578,-0.1341075897216797,-0.12423229217529297,-0.061944007873535156,-0.027777671813964844,-0.03380870819091797,0.013914108276367188,0.0058917999267578125,-0.07369518280029297,-0.09552669525146484,-0.10569572448730469,-0.11946678161621094,-0.123291015625,-0.12417221069335938,-0.11440354585647583,-0.1110110878944397,-0.10224241018295288,-0.05350536108016968,0.5,0.625,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.25,0.21444588899612427,0.1998780220746994
39702.0,3393886.0,-1897810.9750139883,1271971.800014784,2004-03-22,8,2004,3,298.2798767089844,296.05267333984375,294.02880859375,292.44744873046875,290.65435791015625,289.69915771484375,288.6483459472656,287.1817626953125,285.78369140625,284.6033020019531,283.4945983886719,282.28826904296875,280.9993591308594,278.3785705566406,275.13616943359375,272.1749267578125,268.85748291015625,263.99798583984375,258.95965576171875,252.85116577148438,244.34474182128906,238.99964904785156,233.57858276367188,228.45997619628906,222.570556640625,215.92967224121094,207.8502655029297,198.72789001464844,195.32302856445312,78.54373168945312,302.4558410644531,528.6685791015625,759.6328125,995.664306640625,1236.7421875,1484.084716796875,1736.93994140625,1995.78857421875,2263.028564453125,2536.93701171875,2819.12841796875,3110.296630859375,3720.257568359375,4370.23095703125,5070.0234375,5828.0546875,6652.3984375,7554.76171875,8557.5234375,9681.7734375,10298.0859375,10957.5859375,11670.3984375,12449.0390625,13308.10546875,14263.921875,15349.6484375,16629.3125,-0.1951504349708557,-0.14500904083251953,-0.13724136352539062,-0.14768409729003906,-0.1193532943725586,-0.07493972778320312,-0.05285358428955078,-0.032688140869140625,-0.0026912689208984375,0.01299285888671875,0.006351470947265625,-0.0003795623779296875,-0.0061702728271484375,-0.0182952880859375,-0.022210121154785156,0.01688671112060547,0.10816383361816406,0.17337989807128906,0.19040775299072266,0.24530029296875,0.21072673797607422,0.124908447265625,0.06338214874267578,0.04971599578857422,0.04489707946777344,0.022832632064819336,-0.004281759262084961,-0.033057332038879395,-0.042009055614471436,1.125,2.5250000953674316,0.875,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.19237355887889862,0.19991961121559143
39702.0,3393886.0,-1901106.1507706589,1237627.4413909067,2004-03-09,8,2004,3,296.0425720214844,294.0621643066406,292.0855712890625,290.23004150390625,288.822265625,287.71148681640625,286.225830078125,284.9422607421875,283.92706298828125,282.85504150390625,281.7171936035156,280.36102294921875,278.78662109375,276.1489562988281,273.52569580078125,270.8858642578125,268.61920166015625,264.29119873046875,257.2004699707031,249.29208374023438,241.9482879638672,237.72235107421875,233.098876953125,228.35647583007812,223.3326873779297,217.67730712890625,209.0302734375,200.17324829101562,194.81668090820312,112.334716796875,333.2926330566406,558.20263671875,787.32421875,1020.935546875,1260.754638671875,1506.237548828125,1757.109375,2015.16064453125,2279.922119140625,2552.236328125,2832.391357421875,3121.1669921875,3725.996826171875,4372.16845703125,5067.5,5821.8828125,6645.80078125,7547.0234375,8538.37109375,9646.8828125,10257.86328125,10915.3515625,11627.4296875,12406.953125,13271.19921875,14234.0,15326.81640625,16612.3984375,-0.0683475136756897,-0.15146160125732422,-0.20334720611572266,-0.20724964141845703,-0.16876888275146484,-0.1317615509033203,-0.09798908233642578,-0.07577037811279297,-0.06285285949707031,-0.06741046905517578,-0.07515239715576172,-0.08304405212402344,-0.09317207336425781,-0.08843994140625,-0.06994056701660156,-0.0950937271118164,-0.14229679107666016,-0.12458610534667969,-0.1444253921508789,-0.12539196014404297,-0.1432647705078125,-0.10431480407714844,-0.0517730712890625,-0.06567668914794922,-0.14800357818603516,-0.19680500030517578,-0.16988754272460938,-0.12053775787353516,-0.06213068962097168,0.44999998807907104,0.5,0.5,0.25,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.1922590732574463,0.19998398423194885
