_uid_,id,longitude,latitude,initialdate,days,year,month,air_level_1000,air_level_975,air_level_950,air_level_925,air_level_900,air_level_875,air_level_850,air_level_825,air_level_800,air_level_775,air_level_750,air_level_725,air_level_700,air_level_650,air_level_600,air_level_550,air_level_500,air_level_450,air_level_400,air_level_350,air_level_300,air_level_275,air_level_250,air_level_225,air_level_200,air_level_175,air_level_150,air_level_125,air_level_100,hgt_level_1000,hgt_level_975,hgt_level_950,hgt_level_925,hgt_level_900,hgt_level_875,hgt_level_850,hgt_level_825,hgt_level_800,hgt_level_775,hgt_level_750,hgt_level_725,hgt_level_700,hgt_level_650,hgt_level_600,hgt_level_550,hgt_level_500,hgt_level_450,hgt_level_400,hgt_level_350,hgt_level_300,hgt_level_275,hgt_level_250,hgt_level_225,hgt_level_200,hgt_level_175,hgt_level_150,hgt_level_125,hgt_level_100,omega_level_1000,omega_level_975,omega_level_950,omega_level_925,omega_level_900,omega_level_875,omega_level_850,omega_level_825,omega_level_800,omega_level_775,omega_level_750,omega_level_725,omega_level_700,omega_level_650,omega_level_600,omega_level_550,omega_level_500,omega_level_450,omega_level_400,omega_level_350,omega_level_300,omega_level_275,omega_level_250,omega_level_225,omega_level_200,omega_level_175,omega_level_150,omega_level_125,omega_level_100,tke_level_1000,tke_level_975,tke_level_950,tke_level_925,tke_level_900,tke_level_875,tke_level_850,tke_level_825,tke_level_800,tke_level_775,tke_level_750,tke_level_725,tke_level_700,tke_level_650,tke_level_600,uwnd_level_1000,uwnd_level_975,uwnd_level_950,uwnd_level_925,uwnd_level_900,uwnd_level_875,uwnd_level_850,uwnd_level_825,uwnd_level_800,uwnd_level_775,uwnd_level_750,uwnd_level_725,uwnd_level_700,uwnd_level_650,uwnd_level_600,uwnd_level_550,uwnd_level_500,uwnd_level_450,uwnd_level_400,uwnd_level_350,uwnd_level_300,uwnd_level_275,uwnd_level_250,uwnd_level_225,uwnd_level_200,uwnd_level_175,uwnd_level_150,uwnd_level_125,uwnd_level_100
797731.0,21411670.0,-1605183.3194009422,2767132.6403662767,2018-09-01,0,2018,9,297.65380859375,295.809326171875,294.2919921875,292.479248046875,290.59814453125,288.66064453125,286.719482421875,285.18359375,283.838623046875,283.81103515625,284.7213134765625,284.1634521484375,283.02325439453125,280.54095458984375,277.25592041015625,273.344482421875,268.6104736328125,263.78045654296875,258.071044921875,250.51077270507812,241.98680114746094,236.6206512451172,231.0858612060547,226.3953857421875,221.4083251953125,215.39785766601562,207.31761169433594,200.16571044921875,200.2406463623047,109.62472534179688,332.74981689453125,559.177978515625,790.24267578125,1025.99365234375,1266.26904296875,1512.58251953125,1762.8974609375,2021.20068359375,2285.09228515625,2558.817138671875,2841.847900390625,3133.942626953125,3746.625244140625,4400.609375,5102.828125,5859.30859375,6681.33984375,7582.07421875,8577.17578125,9689.921875,10300.15234375,10952.9921875,11658.35546875,12431.52734375,13287.01171875,14241.0,15327.671875,16627.44921875,-0.022547900676727295,-0.02885723114013672,-0.012957572937011719,0.014600753784179688,0.052977561950683594,0.08679771423339844,0.11230087280273438,0.11278533935546875,0.10216522216796875,0.09100341796875,0.07670211791992188,0.05731487274169922,0.031063079833984375,0.0076770782470703125,0.010077476501464844,0.0005960464477539062,-0.014592170715332031,-0.02687835693359375,0.018178939819335938,0.054340362548828125,-0.01926898956298828,-0.03018951416015625,-0.019883155822753906,0.010118484497070312,0.04916191101074219,0.06511116027832031,0.03158283233642578,-0.016625702381134033,-0.027647078037261963,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3801366090774536,0.19942617416381836,-3.481201171875,-4.076507568359375,-5.60992431640625,-6.34881591796875,-6.85577392578125,-6.9885711669921875,-6.636397361755371,-5.606204986572266,-4.93324089050293,-3.9054412841796875,-2.1503467559814453,-0.5296564102172852,-0.2795133590698242,-0.950413703918457,-1.0082073211669922,-1.2761993408203125,-1.95281982421875,-0.65814208984375,2.9001617431640625,5.3392486572265625,8.019271850585938,8.726806640625,9.719451904296875,10.556304931640625,14.939926147460938,21.679641723632812,23.632308959960938,14.477752685546875,2.657379150390625
747311.0,21295163.0,-876105.2769114568,2048965.5205584296,2018-09-01,8,2018,9,295.32568359375,293.528076171875,292.6669921875,291.588623046875,290.34814453125,289.02001953125,287.625732421875,286.27734375,285.041748046875,283.84228515625,282.5963134765625,281.2103271484375,279.80450439453125,278.22845458984375,277.88092041015625,275.235107421875,270.5635986328125,265.26483154296875,259.430419921875,252.12014770507812,243.45555114746094,238.6206512451172,233.6014862060547,227.9422607421875,221.1895751953125,214.71035766601562,207.88011169433594,199.07196044921875,198.9281463623047,108.12472534179688,328.24981689453125,553.177978515625,782.74267578125,1017.99365234375,1258.76904296875,1505.58251953125,1757.3974609375,2016.70068359375,2282.09228515625,2555.317138671875,2836.347900390625,3125.942626953125,3733.625244140625,4386.109375,5092.828125,5855.80859375,6682.83984375,7588.57421875,8589.67578125,9708.921875,10323.15234375,10982.4921875,11694.85546875,12470.02734375,13322.51171875,14276.0,15363.671875,16652.94921875,-0.045985400676727295,0.03754901885986328,0.09641742706298828,0.10444450378417969,0.0998525619506836,0.09461021423339844,0.07714462280273438,0.04247283935546875,0.00841522216796875,-0.00274658203125,-0.001422882080078125,0.006533622741699219,0.019344329833984375,0.04283332824707031,0.10382747650146484,0.1295022964477539,0.13384532928466797,0.11765289306640625,0.08849143981933594,0.10902786254882812,0.16041851043701172,0.18074798583984375,0.2027730941772461,0.1898059844970703,0.11166191101074219,0.04557991027832031,0.04330158233642578,0.022436797618865967,-0.015928328037261963,0.5,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3801366090774536,0.19942617416381836,1.237548828125,1.392242431640625,0.90570068359375,0.32305908203125,0.70672607421875,1.9333038330078125,3.519852638244629,5.159420013427734,6.00425910949707,5.9851837158203125,5.552778244018555,4.751593589782715,3.657986640930176,0.862086296081543,-2.945707321166992,-4.4011993408203125,-2.12469482421875,-1.34564208984375,0.2126617431640625,2.3548736572265625,1.6598968505859375,0.086181640625,-1.608673095703125,-4.334320068359375,-2.4819488525390625,2.6171417236328125,-0.0708160400390625,0.665252685546875,-0.670745849609375
747287.0,21295063.0,-1628473.6722921098,2528368.166070675,2018-09-01,6,2018,9,297.54443359375,295.387451171875,293.7294921875,292.276123046875,290.61376953125,289.12939453125,287.578857421875,285.90234375,284.151123046875,282.59228515625,284.0963134765625,285.1790771484375,283.44512939453125,280.52532958984375,277.30279541015625,273.750732421875,269.2823486328125,264.35858154296875,258.852294921875,251.65139770507812,242.75242614746094,237.2769012451172,232.0077362060547,226.7547607421875,221.1270751953125,216.11660766601562,207.39573669433594,199.58758544921875,198.9750213623047,103.62472534179688,325.74981689453125,551.677978515625,782.24267578125,1017.99365234375,1258.76904296875,1505.58251953125,1756.8974609375,2015.20068359375,2279.09228515625,2550.817138671875,2834.847900390625,3127.942626953125,3740.125244140625,4393.609375,5096.828125,5855.30859375,6679.33984375,7582.07421875,8581.17578125,9698.921875,10310.15234375,10965.4921875,11673.35546875,12445.52734375,13303.01171875,14258.5,15344.171875,16637.94921875,-0.053797900676727295,-0.03276348114013672,-0.005145072937011719,0.018507003784179688,0.045165061950683594,0.06336021423339844,0.061519622802734375,0.05028533935546875,0.03966522216796875,0.04022216796875,0.029827117919921875,0.01825237274169922,0.003719329833984375,-0.04310417175292969,-0.07976627349853516,-0.0853414535522461,-0.06927967071533203,-0.03859710693359375,-0.0013523101806640625,0.026996612548828125,0.06666851043701172,0.07527923583984375,0.023085594177246094,-0.028944015502929688,-0.05630683898925781,-0.07551383972167969,-0.06997966766357422,-0.06350070238113403,-0.03936582803726196,0.5,0.30000001192092896,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3801366090774536,0.19942617416381836,-3.824951171875,-3.967132568359375,-4.71929931640625,-5.89569091796875,-6.48077392578125,-6.5979461669921875,-5.980147361755371,-4.715579986572266,-3.4488658905029297,-3.0773162841796875,-3.2440967559814453,-3.310906410217285,-3.482638359069824,-4.575413703918457,-4.023832321166992,-3.2761993408203125,-3.23406982421875,-1.62689208984375,2.6032867431640625,5.8079986572265625,6.4723968505859375,7.586181640625,11.219451904296875,10.431304931640625,10.455551147460938,17.039016723632812,19.679183959960938,14.774627685546875,3.673004150390625
747268.0,21294973.0,-1557629.377119359,2756863.8852063296,2018-09-01,10,2018,9,297.65380859375,295.809326171875,294.2919921875,292.479248046875,290.59814453125,288.66064453125,286.719482421875,285.18359375,283.838623046875,283.81103515625,284.7213134765625,284.1634521484375,283.02325439453125,280.54095458984375,277.25592041015625,273.344482421875,268.6104736328125,263.78045654296875,258.071044921875,250.51077270507812,241.98680114746094,236.6206512451172,231.0858612060547,226.3953857421875,221.4083251953125,215.39785766601562,207.31761169433594,200.16571044921875,200.2406463623047,109.62472534179688,332.74981689453125,559.177978515625,790.24267578125,1025.99365234375,1266.26904296875,1512.58251953125,1762.8974609375,2021.20068359375,2285.09228515625,2558.817138671875,2841.847900390625,3133.942626953125,3746.625244140625,4400.609375,5102.828125,5859.30859375,6681.33984375,7582.07421875,8577.17578125,9689.921875,10300.15234375,10952.9921875,11658.35546875,12431.52734375,13287.01171875,14241.0,15327.671875,16627.44921875,-0.022547900676727295,-0.02885723114013672,-0.012957572937011719,0.014600753784179688,0.052977561950683594,0.08679771423339844,0.11230087280273438,0.11278533935546875,0.10216522216796875,0.09100341796875,0.07670211791992188,0.05731487274169922,0.031063079833984375,0.0076770782470703125,0.010077476501464844,0.0005960464477539062,-0.014592170715332031,-0.02687835693359375,0.018178939819335938,0.054340362548828125,-0.01926898956298828,-0.03018951416015625,-0.019883155822753906,0.010118484497070312,0.04916191101074219,0.06511116027832031,0.03158283233642578,-0.016625702381134033,-0.027647078037261963,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3801366090774536,0.19942617416381836,-3.481201171875,-4.076507568359375,-5.60992431640625,-6.34881591796875,-6.85577392578125,-6.9885711669921875,-6.636397361755371,-5.606204986572266,-4.93324089050293,-3.9054412841796875,-2.1503467559814453,-0.5296564102172852,-0.2795133590698242,-0.950413703918457,-1.0082073211669922,-1.2761993408203125,-1.95281982421875,-0.65814208984375,2.9001617431640625,5.3392486572265625,8.019271850585938,8.726806640625,9.719451904296875,10.556304931640625,14.939926147460938,21.679641723632812,23.632308959960938,14.477752685546875,2.657379150390625
797648.0,21411512.0,-2197937.969214841,2118002.257707876,2018-09-01,5,2018,9,296.24755859375,294.199951171875,292.7919921875,291.744873046875,290.31689453125,289.03564453125,287.469482421875,286.08984375,284.932373046875,284.06103515625,282.9400634765625,281.6165771484375,280.28887939453125,278.75970458984375,278.02154541015625,274.828857421875,270.4073486328125,265.24920654296875,259.399169921875,252.18264770507812,243.51805114746094,238.6050262451172,233.5858612060547,227.7235107421875,221.1739501953125,214.85098266601562,208.34886169433594,198.96258544921875,198.6781463623047,105.12472534179688,326.74981689453125,551.177978515625,781.24267578125,1016.49365234375,1257.26904296875,1504.08251953125,1755.8974609375,2014.70068359375,2280.59228515625,2553.817138671875,2835.347900390625,3125.442626953125,3734.125244140625,4387.609375,5092.828125,5855.30859375,6682.33984375,7587.57421875,8589.17578125,9708.421875,10322.65234375,10981.9921875,11693.85546875,12468.52734375,13321.51171875,14276.5,15365.171875,16652.94921875,-0.0850479006767273,-0.05620098114013672,-0.009051322937011719,0.018507003784179688,0.033446311950683594,0.04382896423339844,0.049800872802734375,0.02684783935546875,-0.01111602783203125,-0.02227783203125,-0.009235382080078125,0.010439872741699219,0.023250579833984375,0.06236457824707031,0.12726497650146484,0.1216897964477539,0.09868907928466797,0.07468414306640625,0.05724143981933594,0.08949661254882812,0.13307476043701172,0.15340423583984375,0.1676168441772461,0.1468372344970703,0.06088066101074219,0.014329910278320312,0.004239082336425781,-0.004906952381134033,-0.019834578037261963,0.5,0.2750000059604645,0.25,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3801366090774536,0.19942617416381836,1.612548828125,1.798492431640625,1.56195068359375,-0.14569091796875,-0.84014892578125,-0.1760711669921875,1.519852638244629,4.159420013427734,6.05113410949707,6.5008087158203125,6.115278244018555,5.032843589782715,3.486111640930176,-0.04416370391845703,-4.258207321166992,-4.4324493408203125,-2.45281982421875,-1.76751708984375,0.1814117431640625,2.7142486572265625,2.1755218505859375,0.742431640625,-0.624298095703125,-2.974945068359375,0.1274261474609375,5.1015167236328125,1.6010589599609375,1.821502685546875,-0.248870849609375
797683.0,21411570.0,-2233801.331711974,1732306.024719318,2018-09-03,6,2018,9,297.43603515625,295.3310546875,293.6142578125,292.80126953125,291.634521484375,290.209228515625,288.826171875,287.672607421875,286.458251953125,285.23388671875,283.9521484375,282.408447265625,280.75738525390625,277.6316833496094,274.1893310546875,271.57281494140625,268.29400634765625,264.25982666015625,259.4136657714844,252.5448760986328,243.62820434570312,238.4707489013672,232.62733459472656,226.72581481933594,222.9893341064453,214.90509033203125,205.92591857910156,201.98814392089844,199.00625610351562,110.41079711914062,332.5813293457031,558.722412109375,789.418701171875,1025.743896484375,1267.56787109375,1515.29931640625,1768.329833984375,2029.1953125,2295.700439453125,2570.21875,2853.058837890625,3143.2578125,3752.20361328125,4400.443359375,5098.2578125,5853.5,6676.9140625,7580.53515625,8583.2578125,9703.87109375,10318.515625,10976.2578125,11685.09765625,12462.578125,13319.41796875,14268.78125,15354.55859375,16663.046875,0.11168479919433594,0.17614459991455078,0.21172523498535156,0.19649696350097656,0.15468978881835938,0.1279134750366211,0.1071767807006836,0.0986318588256836,0.09130668640136719,0.08784198760986328,0.08292293548583984,0.08333015441894531,0.0866546630859375,0.08598041534423828,0.06532001495361328,0.06056404113769531,0.09218311309814453,0.12108039855957031,0.1169424057006836,0.12421131134033203,0.1435565948486328,0.15795040130615234,0.1414480209350586,0.06219768524169922,-0.025577545166015625,-0.027177810668945312,0.0035848617553710938,0.00013744831085205078,-0.01961195468902588,0.574999988079071,0.375,0.26250001788139343,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.25,0.13683024048805237,0.19935265183448792,0.8816070556640625,0.7374267578125,0.6615753173828125,1.515838623046875,2.4800262451171875,2.743560791015625,2.3184661865234375,1.6673736572265625,0.7903594970703125,-0.3228302001953125,-1.5088415145874023,-2.3982372283935547,-2.7645015716552734,-2.4573516845703125,-2.233245849609375,-3.3215322494506836,-4.9461822509765625,-6.766265869140625,-6.6473236083984375,-4.8592681884765625,-4.205657958984375,-5.8120574951171875,-6.394256591796875,-5.877197265625,-5.62762451171875,-5.9117431640625,-4.988922119140625,-6.5748443603515625,-10.972015380859375
797800.0,21411834.0,-1418357.518005224,2316321.1325896946,2018-09-02,4,2018,9,297.859130859375,295.675537109375,293.633544921875,291.80419921875,290.28271484375,289.002197265625,287.63720703125,286.32373046875,285.048828125,283.82275390625,282.7760925292969,282.10150146484375,281.020751953125,279.2089538574219,276.81304931640625,273.1029052734375,268.660888671875,264.03399658203125,258.76031494140625,252.10400390625,244.15167236328125,239.19496154785156,234.4634552001953,228.86402893066406,222.66513061523438,215.38970947265625,207.48475646972656,198.6751251220703,197.96121215820312,121.39340209960938,345.0043029785156,570.7998046875,801.8662109375,1036.256591796875,1276.8056640625,1523.345458984375,1775.14453125,2034.636474609375,2300.088134765625,2573.151611328125,2854.4599609375,3144.94775390625,3754.509765625,4407.4052734375,5108.375,5865.8984375,6688.05859375,7590.2109375,8589.4453125,9711.0546875,10327.13671875,10988.23828125,11703.421875,12482.87890625,13340.14453125,14294.50390625,15379.15625,16665.0,-0.013462483882904053,-0.03086090087890625,-0.040549278259277344,-0.035529136657714844,-0.03006267547607422,-0.021360397338867188,-0.004424095153808594,0.016752243041992188,0.03289794921875,0.04705524444580078,0.05964851379394531,0.06079292297363281,0.051102638244628906,0.01826953887939453,0.006110191345214844,-0.0016498565673828125,-0.023900985717773438,-0.00039005279541015625,0.03609466552734375,0.02614116668701172,0.008701324462890625,0.023288726806640625,0.03533744812011719,0.04675579071044922,0.11056995391845703,0.1466197967529297,0.0697927474975586,-0.01796513795852661,-0.02063518762588501,0.3125,0.25,0.25,0.20000000298023224,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.13990706205368042,0.19995860755443573,1.30841064453125,1.4495697021484375,1.5820465087890625,1.7806854248046875,2.2787628173828125,2.7121124267578125,3.0107421875,3.7064971923828125,5.3624420166015625,7.0495147705078125,7.307586669921875,6.7729034423828125,6.339167594909668,3.7400054931640625,-0.150421142578125,-0.9505157470703125,1.275665283203125,2.283477783203125,2.618011474609375,6.7832794189453125,9.43896484375,7.9537353515625,7.5139007568359375,7.230987548828125,8.650634765625,7.8771209716796875,6.203643798828125,1.377655029296875,-1.072265625
747248.0,21294789.0,-2246659.538376728,2423240.606394356,2018-09-01,14,2018,9,297.68505859375,295.496826171875,293.6357421875,292.307373046875,290.81689453125,289.25439453125,287.625732421875,285.93359375,284.213623046875,282.57666015625,283.0338134765625,284.8197021484375,283.69512939453125,280.66595458984375,277.33404541015625,273.953857421875,269.6260986328125,264.74920654296875,259.102294921875,251.85452270507812,242.98680114746094,237.7612762451172,232.5858612060547,226.6297607421875,221.2208251953125,216.05410766601562,207.28636169433594,199.65008544921875,198.5687713623047,101.62472534179688,323.74981689453125,549.677978515625,780.74267578125,1015.99365234375,1257.26904296875,1503.58251953125,1755.3974609375,2013.70068359375,2277.59228515625,2549.317138671875,2831.847900390625,3125.942626953125,3738.125244140625,4392.109375,5095.328125,5854.80859375,6679.83984375,7584.07421875,8584.17578125,9701.921875,10314.65234375,10970.9921875,11680.35546875,12452.52734375,13309.51171875,14265.0,15350.171875,16642.94921875,-0.061610400676727295,-0.04057598114013672,-0.01686382293701172,0.0028820037841796875,0.025633811950683594,0.03211021423339844,0.034175872802734375,0.03466033935546875,0.05138397216796875,0.08319091796875,0.10404586791992188,0.09637737274169922,0.07403182983398438,0.015489578247070312,-0.036797523498535156,-0.0697164535522461,-0.07709217071533203,-0.05812835693359375,-0.020883560180664062,-0.015972137451171875,-0.0036439895629882812,0.00496673583984375,-0.012070655822753906,-0.04847526550292969,-0.07193183898925781,-0.04817008972167969,-0.02310466766357422,-0.028344452381134033,-0.023740828037261963,0.5,0.574999988079071,0.30000001192092896,0.25,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.375,0.375,0.3801366090774536,0.19942617416381836,-3.371826171875,-3.467132568359375,-3.65679931640625,-4.48944091796875,-4.88702392578125,-4.7541961669921875,-4.198897361755371,-2.9655799865722656,-1.3863658905029297,-0.3898162841796875,-0.7284717559814453,-1.9984064102172852,-2.592013359069824,-4.997288703918457,-5.195707321166992,-3.9949493408203125,-3.35906982421875,-1.67376708984375,2.1345367431640625,5.5423736572265625,7.2536468505859375,7.648681640625,7.703826904296875,9.259429931640625,9.377426147460938,14.476516723632812,17.507308959960938,13.477752685546875,3.719879150390625
797647.0,21411511.0,-2196160.8227442536,2124730.2363801883,2018-09-03,3,2018,9,295.06103515625,294.2529296875,294.2548828125,293.33251953125,291.978271484375,290.474853515625,289.169921875,287.922607421875,286.630126953125,285.31201171875,283.8896484375,282.377197265625,280.80426025390625,277.8035583496094,275.1268310546875,272.26031494140625,268.96588134765625,264.04107666015625,258.8355407714844,252.1230010986328,243.70632934570312,238.7832489013672,233.36170959472656,227.22581481933594,221.0049591064453,215.70196533203125,206.98841857910156,201.33189392089844,199.75625610351562,107.91079711914062,328.0813293457031,553.722412109375,784.918701171875,1021.243896484375,1263.06787109375,1511.29931640625,1764.829833984375,2025.6953125,2292.700439453125,2567.21875,2849.558837890625,3140.2578125,3749.70361328125,4398.443359375,5099.2578125,5855.5,6679.4140625,7581.53515625,8582.2578125,9702.37109375,10317.015625,10976.7578125,11687.59765625,12460.078125,13316.41796875,14270.28125,15358.05859375,16663.546875,0.06480979919433594,0.10973834991455078,0.12578773498535156,0.13399696350097656,0.14297103881835938,0.1513509750366211,0.1540517807006836,0.1533193588256836,0.1616191864013672,0.16987323760986328,0.17276668548583984,0.1653614044189453,0.1452484130859375,0.08988666534423828,0.03797626495361328,0.0058765411376953125,-0.005473136901855469,-0.011732101440429688,-0.004151344299316406,0.007023811340332031,-0.028318405151367188,-0.033455848693847656,-0.022614479064941406,-0.02764606475830078,-0.041202545166015625,-0.06624031066894531,-0.043290138244628906,-0.01939380168914795,-0.03133070468902588,0.42500001192092896,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.25,0.13683024048805237,0.19935265183448792,-0.7590179443359375,0.1905517578125,0.9115753173828125,1.531463623046875,1.9800262451171875,2.337310791015625,2.5840911865234375,2.7767486572265625,2.8841094970703125,3.0209197998046875,3.1161584854125977,3.1642627716064453,3.1417484283447266,2.8551483154296875,1.173004150390625,-2.7434072494506836,-5.4774322509765625,-4.235015869140625,-4.0066986083984375,-3.9217681884765625,-1.033782958984375,-3.1245574951171875,-5.519256591796875,-4.627197265625,-3.87762451171875,-4.4273681640625,-4.598297119140625,-1.4342193603515625,-3.393890380859375
798252.0,21412907.0,-515365.6838843892,2800673.378320476,2018-09-02,0,2018,9,297.312255859375,295.253662109375,293.571044921875,292.10107421875,290.40771484375,288.830322265625,287.01220703125,285.57373046875,283.970703125,283.63525390625,283.6510925292969,282.72650146484375,281.958251953125,280.4902038574219,277.78179931640625,274.1341552734375,269.801513671875,264.84649658203125,258.11968994140625,250.33837890625,242.04229736328125,237.52308654785156,232.6978302001953,227.84840393066406,222.39950561523438,215.12408447265625,207.29725646972656,198.8938751220703,199.36746215820312,116.39340209960938,339.0043029785156,565.7998046875,795.3662109375,1031.256591796875,1271.8056640625,1517.845458984375,1769.14453125,2027.136474609375,2291.088134765625,2565.151611328125,2846.9599609375,3137.44775390625,3749.009765625,4403.9052734375,5107.875,5867.3984375,6693.55859375,7596.2109375,8590.4453125,9702.5546875,10313.13671875,10969.73828125,11680.421875,12458.37890625,13314.14453125,14267.50390625,15352.15625,16642.5,-0.05643123388290405,-0.08945465087890625,-0.11476802825927734,-0.11756038665771484,-0.08865642547607422,-0.029172897338867188,0.034638404846191406,0.09097099304199219,0.12664794921875,0.10564899444580078,0.04792976379394531,-0.013425827026367188,-0.050459861755371094,-0.04032421112060547,-0.005608558654785156,0.017881393432617188,0.03469276428222656,0.06601619720458984,0.07515716552734375,0.04567241668701172,-0.014736175537109375,-0.043117523193359375,-0.07403755187988281,-0.09777545928955078,-0.07302379608154297,-0.017442703247070312,0.007292747497558594,0.02109736204147339,0.01452106237411499,0.2750000059604645,0.22500000894069672,0.25,0.20000000298023224,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.13990706205368042,0.19995860755443573,1.77716064453125,1.9183197021484375,1.6601715087890625,0.3431854248046875,-0.0024871826171875,-0.2878875732421875,-0.3486328125,-0.5278778076171875,-0.9500579833984375,-1.0442352294921875,-0.208038330078125,1.3979034423828125,2.807917594909668,3.2087554931640625,2.677703857421875,2.3151092529296875,1.728790283203125,0.861602783203125,2.961761474609375,7.7520294189453125,12.59521484375,13.1412353515625,15.170150756835938,17.355987548828125,19.666259765625,19.923995971679688,19.031768798828125,13.002655029296875,3.271484375
