_uid_,id,longitude,latitude,initialdate,days,year,month,air_level_1000,air_level_975,air_level_950,air_level_925,air_level_900,air_level_875,air_level_850,air_level_825,air_level_800,air_level_775,air_level_750,air_level_725,air_level_700,air_level_650,air_level_600,air_level_550,air_level_500,air_level_450,air_level_400,air_level_350,air_level_300,air_level_275,air_level_250,air_level_225,air_level_200,air_level_175,air_level_150,air_level_125,air_level_100,hgt_level_1000,hgt_level_975,hgt_level_950,hgt_level_925,hgt_level_900,hgt_level_875,hgt_level_850,hgt_level_825,hgt_level_800,hgt_level_775,hgt_level_750,hgt_level_725,hgt_level_700,hgt_level_650,hgt_level_600,hgt_level_550,hgt_level_500,hgt_level_450,hgt_level_400,hgt_level_350,hgt_level_300,hgt_level_275,hgt_level_250,hgt_level_225,hgt_level_200,hgt_level_175,hgt_level_150,hgt_level_125,hgt_level_100,shum_level_1000,shum_level_975,shum_level_950,shum_level_925,shum_level_900,shum_level_875,shum_level_850,shum_level_825,shum_level_800,shum_level_775,shum_level_750,shum_level_725,shum_level_700,shum_level_650,shum_level_600,shum_level_550,shum_level_500,shum_level_450,shum_level_400,shum_level_350,shum_level_300,shum_level_275,shum_level_250,shum_level_225,shum_level_200,shum_level_175,shum_level_150,shum_level_125,shum_level_100,tke_level_1000,tke_level_975,tke_level_950,tke_level_925,tke_level_900,tke_level_875,tke_level_850,tke_level_825,tke_level_800,tke_level_775,tke_level_750,tke_level_725,tke_level_700,tke_level_650,tke_level_600,uwnd_level_1000,uwnd_level_975,uwnd_level_950,uwnd_level_925,uwnd_level_900,uwnd_level_875,uwnd_level_850,uwnd_level_825,uwnd_level_800,uwnd_level_775,uwnd_level_750,uwnd_level_725,uwnd_level_700,uwnd_level_650,uwnd_level_600,uwnd_level_550,uwnd_level_500,uwnd_level_450,uwnd_level_400,uwnd_level_350,uwnd_level_300,uwnd_level_275,uwnd_level_250,uwnd_level_225,uwnd_level_200,uwnd_level_175,uwnd_level_150,uwnd_level_125,uwnd_level_100
872067.0,21497273.0,-2218080.1482142536,2104353.812368593,2018-10-02,1,2018,10,299.459228515625,297.258544921875,295.4140625,293.4014892578125,291.6224365234375,289.8701171875,288.33880615234375,286.8063659667969,285.20550537109375,283.7041015625,282.93133544921875,283.23541259765625,282.29937744140625,279.2701416015625,276.14495849609375,272.911376953125,268.4993896484375,262.87396240234375,256.6307373046875,250.49066162109375,242.58563232421875,238.6371612548828,233.35362243652344,227.37042236328125,221.83229064941406,215.0895538330078,208.64247131347656,201.6615753173828,197.60525512695312,128.0263671875,353.2566223144531,580.54248046875,812.703857421875,1048.490478515625,1290.257080078125,1537.238037109375,1789.91796875,2049.62451171875,2315.14111328125,2588.298828125,2870.27392578125,3162.1494140625,3773.0732421875,4424.466796875,5124.9296875,5881.72265625,6702.0859375,7598.4453125,8590.3828125,9704.328125,10317.35546875,10976.9375,11688.07421875,12463.50390625,13317.4375,14273.54296875,15369.3359375,16669.921875,0.017250917851924896,0.016964316368103027,0.015086588449776173,0.013204028829932213,0.011733045801520348,0.010784744285047054,0.010074193589389324,0.009401329793035984,0.008719999343156815,0.007969999685883522,0.006599999964237213,0.004809999838471413,0.003709999844431877,0.0026209999341517687,0.0017059999518096447,0.0009889999637380242,0.0006479999865405262,0.0005290000117383897,0.00037900000461377203,0.00018099999579135329,0.00015800000983290374,0.00011739609180949628,0.00012529637024272233,9.26094435271807e-05,5.980000059935264e-05,3.5354318242752925e-05,1.646000237087719e-05,7.0568039518548176e-06,4.263210485078162e-06,0.5,0.32500001788139343,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.18345756828784943,0.19999894499778748,-6.1282196044921875,-6.3931121826171875,-6.888519287109375,-7.054962158203125,-6.3475341796875,-5.4991912841796875,-5.37646484375,-5.0343780517578125,-4.602630615234375,-4.3889312744140625,-4.8418731689453125,-6.430999755859375,-7.450469970703125,-7.939178466796875,-8.832855224609375,-9.934219360351562,-11.534637451171875,-12.573760986328125,-10.880905151367188,-8.418548583984375,-6.458343505859375,-6.1713714599609375,-3.2180938720703125,-0.048736572265625,-0.2457427978515625,2.4362335205078125,-0.3216552734375,-1.9202728271484375,-1.3932924270629883
872131.0,21497427.0,-1655782.5019338666,2530582.366335044,2018-10-01,0,2018,10,298.805419921875,296.79052734375,295.33984375,294.119140625,292.654052734375,291.03851318359375,289.3798828125,287.69207763671875,285.9530029296875,284.6109924316406,284.61334228515625,283.8556213378906,282.53594970703125,279.966552734375,277.12109375,273.3564453125,268.310546875,262.5989685058594,256.64251708984375,249.8951873779297,241.2664337158203,237.06202697753906,232.38418579101562,227.1140594482422,220.83094787597656,214.48992919921875,207.8931121826172,201.74851989746094,199.17196655273438,109.68955993652344,333.6575927734375,561.070556640625,793.041259765625,1030.25,1273.056640625,1521.760498046875,1775.21044921875,2035.08203125,2301.311767578125,2575.65673828125,2858.696044921875,3150.452880859375,3762.048583984375,4415.60302734375,5118.30078125,5875.05078125,6694.390625,7590.02734375,8581.89453125,9690.9453125,10300.38671875,10956.23828125,11664.91796875,12438.44921875,13290.0,14243.18359375,15336.01171875,16641.42578125,0.01742253266274929,0.016382955014705658,0.014738575555384159,0.013599046505987644,0.012557548470795155,0.011484747752547264,0.010375762358307838,0.009159999899566174,0.007960000075399876,0.006719999946653843,0.005399999674409628,0.0042399996891617775,0.003389999968931079,0.002205000026151538,0.0014049999881535769,0.0010140000376850367,0.0007060000207275152,0.00042699999175965786,0.0002410000015515834,0.000307999987853691,0.0004101067897863686,0.00021827020100317895,0.0001337050780421123,8.552634244551882e-05,6.0100002883700654e-05,3.445000038482249e-05,1.585000063641928e-05,7.5886546255787835e-06,5.755717211286537e-06,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.25,0.25,0.13731813430786133,0.1999785453081131,-3.9987945556640625,-4.7825469970703125,-7.2076416015625,-8.272369384765625,-7.6938018798828125,-6.6876373291015625,-5.6760101318359375,-5.37139892578125,-5.836273193359375,-7.205352783203125,-8.859481811523438,-9.735671997070312,-9.88385009765625,-9.82159423828125,-10.523086547851562,-10.808364868164062,-8.859283447265625,-5.386016845703125,-4.1258544921875,-3.0323638916015625,0.934478759765625,4.1399078369140625,4.8926239013671875,7.362548828125,12.0618896484375,13.673797607421875,13.83294677734375,4.700192451477051,-1.3275928497314453
872130.0,21497426.0,-1660752.3751734,2531696.407415224,2018-10-03,4,2018,10,298.97509765625,296.91943359375,295.15814208984375,293.38421630859375,291.940185546875,290.4295654296875,288.9954833984375,287.47442626953125,285.9297790527344,284.75146484375,284.08270263671875,283.2288818359375,281.9468994140625,279.0672912597656,275.99224853515625,273.17523193359375,268.94207763671875,263.377197265625,257.4107666015625,251.7814178466797,243.6759490966797,238.20069885253906,232.80950927734375,226.749267578125,221.3520965576172,215.9672088623047,209.3720703125,199.9788818359375,198.52798461914062,144.7666015625,369.7897644042969,597.2710571289062,828.81884765625,1065.74169921875,1306.852294921875,1554.454833984375,1807.323974609375,2067.435791015625,2333.158935546875,2606.6240234375,2889.439208984375,3180.556884765625,3791.8115234375,4443.0947265625,5144.359375,5902.36328125,6724.19921875,7622.42578125,8618.62109375,9739.609375,10353.3203125,11010.703125,11719.74609375,12492.578125,13348.66796875,14311.1953125,15403.57421875,16695.97265625,0.017525965347886086,0.01697514019906521,0.015074619092047215,0.013006189838051796,0.010794251225888729,0.009074375033378601,0.007905632257461548,0.007109999656677246,0.006449999753385782,0.005679999943822622,0.004819999914616346,0.004549999721348286,0.004628404509276152,0.004271999932825565,0.002924324944615364,0.001382000045850873,0.0006900000153109431,0.0005159999709576368,0.000307999987853691,0.00026699999580159783,0.0003127999952994287,0.00023689999943599105,0.00015056095435284078,9.193170262733474e-05,5.690000034519471e-05,3.441080843913369e-05,1.7550000848132186e-05,6.014495738781989e-06,5.522551873582415e-06,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.18438301980495453,0.19916792213916779,-4.9833831787109375,-5.2443389892578125,-5.981597900390625,-6.48138427734375,-6.458404541015625,-5.3924713134765625,-4.471649169921875,-3.4717254638671875,-3.06719970703125,-3.4461212158203125,-4.72161865234375,-6.2731781005859375,-7.3578948974609375,-9.065872192382812,-9.742263793945312,-7.7069244384765625,-7.4925537109375,-7.7829742431640625,-8.254348754882812,-6.3719635009765625,-3.847991943359375,-3.2498626708984375,-2.084228515625,-1.282684326171875,-2.16790771484375,2.58221435546875,-1.3563385009765625,-2.5324249267578125,-7.7018585205078125
872073.0,21497281.0,-1996850.839705485,1702590.077746858,2018-10-03,0,2018,10,299.36572265625,297.12255859375,295.25189208984375,293.44671630859375,292.690185546875,291.1014404296875,289.3704833984375,287.67755126953125,285.9922790527344,284.47021484375,283.12957763671875,281.9632568359375,280.9000244140625,279.1766662597656,277.03912353515625,274.03460693359375,269.62957763671875,264.408447265625,258.0357666015625,251.0470428466797,242.2540740966797,237.66944885253906,232.98138427734375,227.577392578125,221.0708465576172,213.3109588623047,207.8564453125,200.8382568359375,199.51235961914062,134.2666015625,359.2897644042969,586.7710571289062,818.31884765625,1055.24169921875,1296.852294921875,1544.954833984375,1798.323974609375,2058.435791015625,2324.658935546875,2598.1240234375,2879.939208984375,3170.056884765625,3779.3115234375,4432.0947265625,5135.359375,5895.36328125,6720.19921875,7621.92578125,8618.62109375,9733.109375,10344.3203125,11001.203125,11712.74609375,12487.578125,13335.16796875,14285.1953125,15377.57421875,16678.97265625,0.01682596653699875,0.016615139320492744,0.015134618617594242,0.012996189296245575,0.010044251568615437,0.0092743756249547,0.008675632067024708,0.008150000125169754,0.0077599999494850636,0.007369999773800373,0.006839999929070473,0.00612999964505434,0.004878404550254345,0.002563999965786934,0.0017113250214606524,0.0014199999859556556,0.0011609999928623438,0.0008849999867379665,0.0007849999819882214,0.0004309999931138009,0.00024300000222865492,0.00016320000577252358,9.026094630826265e-05,5.303170109982602e-05,4.5900000259280205e-05,3.151080818497576e-05,1.5290001101675443e-05,6.054495770513313e-06,5.542552116821753e-06,0.5,0.75,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.18438301980495453,0.19916792213916779,-6.2021331787109375,-6.2912139892578125,-6.653472900390625,-6.68450927734375,-6.052154541015625,-5.4705963134765625,-4.737274169921875,-4.1279754638671875,-3.53594970703125,-3.1804962158203125,-3.14349365234375,-3.4606781005859375,-3.8266448974609375,-3.6752471923828125,-3.0703887939453125,-4.1131744384765625,-6.0081787109375,-8.626724243164062,-5.6605987548828125,-2.7313385009765625,-4.644866943359375,-7.5623626708984375,-8.021728515625,-11.142059326171875,-14.87103271484375,-15.62091064453125,-17.918838500976562,-8.298049926757812,-4.6862335205078125
872124.0,21497420.0,-1953354.0773435296,2736264.107199473,2018-10-04,4,2018,10,298.12841796875,295.98779296875,294.0263671875,292.06707763671875,291.65185546875,290.651123046875,289.423583984375,287.95867919921875,286.5818786621094,285.4398193359375,284.658935546875,284.07159423828125,283.3997802734375,281.3134765625,278.59539794921875,275.0670471191406,269.8525390625,264.0015869140625,258.6812744140625,251.89549255371094,243.3686981201172,238.15834045410156,233.24746704101562,227.15487670898438,220.68531799316406,214.49354553222656,208.42909240722656,199.7486114501953,197.63369750976562,134.15966796875,357.5193786621094,584.0234985351562,814.744140625,1050.08740234375,1291.280517578125,1538.732421875,1791.559814453125,2051.82666015625,2318.463134765625,2593.155517578125,2876.34423828125,3168.75537109375,3783.006103515625,4439.642578125,5145.984375,5907.3984375,6730.9453125,7632.12109375,8632.09765625,9751.0078125,10364.4375,11022.18359375,11733.5078125,12506.0078125,13356.61328125,14310.9609375,15402.46875,16692.53515625,0.016187496483325958,0.015743043273687363,0.013788090087473392,0.012495298869907856,0.00800059363245964,0.006769885309040546,0.00640960643067956,0.006613369099795818,0.0070399995893239975,0.006569999735802412,0.005109999794512987,0.003889999818056822,0.002940000034868717,0.0015249999705702066,0.000699999975040555,0.00043899999582208693,0.0004710000066552311,0.0005729999975301325,0.0003220000071451068,0.0003819999983534217,0.00034100000630132854,0.0003241874510422349,0.00024705310352146626,0.00013562914682552218,6.772035703761503e-05,3.369133628439158e-05,1.7640000805840828e-05,5.893000889045652e-06,4.859936780121643e-06,0.7750000357627869,0.625,0.30000001192092896,0.7750000357627869,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.13825884461402893,0.19961968064308167,-7.5768280029296875,-7.8919677734375,-8.496780395507812,-8.760879516601562,-7.1954498291015625,-6.0662384033203125,-3.81829833984375,-1.3052825927734375,0.6232452392578125,0.7393798828125,-0.965789794921875,-3.2751922607421875,-4.680328369140625,-5.485107421875,-5.325042724609375,-5.3965606689453125,-4.5605926513671875,-3.3665618896484375,-5.4739990234375,-5.8786773681640625,-3.1631011962890625,-3.802032470703125,-2.9259185791015625,-0.20745849609375,4.7705230712890625,4.9555511474609375,-1.4403533935546875,-0.009869575500488281,-2.6380624771118164
908748.0,21497255.0,-2146200.279136836,2149682.621734558,2018-10-02,12,2018,10,299.490478515625,297.336669921875,295.3828125,293.5733642578125,291.6693115234375,289.8076171875,288.41693115234375,286.8688659667969,285.23675537109375,283.8447265625,283.10321044921875,283.32916259765625,282.28375244140625,279.2388916015625,276.19183349609375,272.958251953125,268.4681396484375,262.81146240234375,256.5369873046875,250.38128662109375,242.47625732421875,238.6527862548828,233.21299743652344,227.37042236328125,221.81666564941406,215.0895538330078,208.67372131347656,201.6303253173828,197.66775512695312,128.0263671875,353.2566223144531,580.54248046875,812.703857421875,1048.490478515625,1290.757080078125,1537.738037109375,1790.41796875,2050.12451171875,2315.64111328125,2588.798828125,2870.77392578125,3162.6494140625,3773.5732421875,4424.966796875,5125.4296875,5882.22265625,6702.5859375,7598.9453125,8590.3828125,9703.828125,10316.85546875,10975.9375,11687.07421875,12462.50390625,13316.4375,14272.54296875,15368.3359375,16668.921875,0.017260918393731117,0.01691431738436222,0.015206588432192802,0.013294028118252754,0.012053046375513077,0.010854744352400303,0.009954193606972694,0.009241330437362194,0.00851999968290329,0.007699999958276749,0.006389999762177467,0.004749999847263098,0.0037299999967217445,0.002669000066816807,0.001706999959424138,0.0009640000062063336,0.0006319999811239541,0.0005150000215508044,0.00037799999699927866,0.0001849999971454963,0.00016900000628083944,0.00012349609460216016,0.0001327963691437617,9.280944505007938e-05,5.8800003898795694e-05,3.5254321119282395e-05,1.6610001694061793e-05,7.186803941294784e-06,4.333210199547466e-06,0.5,0.3499999940395355,0.375,0.25,0.30000001192092896,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.18345756828784943,0.19999894499778748,-6.4094696044921875,-6.6743621826171875,-7.169769287109375,-7.429962158203125,-7.3475341796875,-6.4054412841796875,-5.93896484375,-5.1750030517578125,-4.430755615234375,-4.1545562744140625,-4.6074981689453125,-6.196624755859375,-7.216094970703125,-8.142303466796875,-9.285980224609375,-10.246719360351562,-11.581512451171875,-12.558135986328125,-11.115280151367188,-8.106048583984375,-5.958343505859375,-5.2651214599609375,-1.4993438720703125,1.091888427734375,1.7855072021484375,3.6549835205078125,1.6002197265625,-1.9046478271484375,-1.5339174270629883
908748.0,21497255.0,-2146200.279136836,2149682.621734558,2018-10-07,12,2018,10,300.06689453125,298.04736328125,296.327392578125,294.7490234375,292.915283203125,290.94940185546875,289.06634521484375,287.270263671875,285.6341552734375,283.9253845214844,282.0960693359375,279.9344482421875,278.55670166015625,278.15997314453125,276.7955322265625,273.70709228515625,269.4510192871094,263.990478515625,258.0452880859375,251.46363830566406,242.80101013183594,237.815673828125,232.9263153076172,227.30453491210938,221.13836669921875,214.2915802001953,206.4660186767578,200.0708465576172,199.7564239501953,100.13385009765625,325.21917724609375,553.3111572265625,786.594482421875,1024.322021484375,1267.0126953125,1515.395751953125,1768.169677734375,2028.885498046875,2294.712646484375,2567.76220703125,2847.82470703125,3135.848876953125,3741.334228515625,4392.97265625,5095.90625,5855.078125,6679.7734375,7580.5234375,8578.00390625,9694.81640625,10307.3125,10964.68359375,11674.81640625,12449.28125,13301.125,14250.80859375,15335.05859375,16633.33203125,0.018452322110533714,0.017514530569314957,0.015858475118875504,0.013702631928026676,0.012269999831914902,0.011219999752938747,0.010350000113248825,0.009710462763905525,0.009196144528687,0.008700000122189522,0.008049999363720417,0.006969999987632036,0.005549999885261059,0.003145999973639846,0.0020810000132769346,0.001744000008329749,0.0017059999518096447,0.0016589999431744218,0.0011099999537691474,0.000582000007852912,0.00032203333103097975,0.00021956057753413916,0.00013674279034603387,9.363471326651052e-05,6.423104059649631e-05,3.2258223654935136e-05,1.1832003110612277e-05,5.408531251305249e-06,6.295619641605299e-06,0.25,0.2750000059604645,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.07632581144571304,0.19999992847442627,-4.14794921875,-4.732879638671875,-5.495452880859375,-6.0786285400390625,-5.7498321533203125,-5.5068359375,-5.365142822265625,-5.3460845947265625,-5.22369384765625,-5.1095733642578125,-5.0722198486328125,-4.77947998046875,-5.08551025390625,-6.1957244873046875,-5.4612274169921875,-4.330078125,-5.440826416015625,-5.7003631591796875,-0.37677001953125,3.7252044677734375,5.181488037109375,6.6360931396484375,9.603378295898438,6.847747802734375,4.5772857666015625,4.015655517578125,4.3658905029296875,3.91253662109375,0.6121511459350586
872066.0,21497262.0,-2134227.1027138494,2143389.03376871,2018-10-02,3,2018,10,299.490478515625,297.336669921875,295.3828125,293.5733642578125,291.6693115234375,289.8076171875,288.41693115234375,286.8688659667969,285.23675537109375,283.8447265625,283.10321044921875,283.32916259765625,282.28375244140625,279.2388916015625,276.19183349609375,272.958251953125,268.4681396484375,262.81146240234375,256.5369873046875,250.38128662109375,242.47625732421875,238.6527862548828,233.21299743652344,227.37042236328125,221.81666564941406,215.0895538330078,208.67372131347656,201.6303253173828,197.66775512695312,128.0263671875,353.2566223144531,580.54248046875,812.703857421875,1048.490478515625,1290.757080078125,1537.738037109375,1790.41796875,2050.12451171875,2315.64111328125,2588.798828125,2870.77392578125,3162.6494140625,3773.5732421875,4424.966796875,5125.4296875,5882.22265625,6702.5859375,7598.9453125,8590.3828125,9703.828125,10316.85546875,10975.9375,11687.07421875,12462.50390625,13316.4375,14272.54296875,15368.3359375,16668.921875,0.017260918393731117,0.01691431738436222,0.015206588432192802,0.013294028118252754,0.012053046375513077,0.010854744352400303,0.009954193606972694,0.009241330437362194,0.00851999968290329,0.007699999958276749,0.006389999762177467,0.004749999847263098,0.0037299999967217445,0.002669000066816807,0.001706999959424138,0.0009640000062063336,0.0006319999811239541,0.0005150000215508044,0.00037799999699927866,0.0001849999971454963,0.00016900000628083944,0.00012349609460216016,0.0001327963691437617,9.280944505007938e-05,5.8800003898795694e-05,3.5254321119282395e-05,1.6610001694061793e-05,7.186803941294784e-06,4.333210199547466e-06,0.5,0.3499999940395355,0.375,0.25,0.30000001192092896,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.25,0.18345756828784943,0.19999894499778748,-6.4094696044921875,-6.6743621826171875,-7.169769287109375,-7.429962158203125,-7.3475341796875,-6.4054412841796875,-5.93896484375,-5.1750030517578125,-4.430755615234375,-4.1545562744140625,-4.6074981689453125,-6.196624755859375,-7.216094970703125,-8.142303466796875,-9.285980224609375,-10.246719360351562,-11.581512451171875,-12.558135986328125,-11.115280151367188,-8.106048583984375,-5.958343505859375,-5.2651214599609375,-1.4993438720703125,1.091888427734375,1.7855072021484375,3.6549835205078125,1.6002197265625,-1.9046478271484375,-1.5339174270629883
908383.0,21497267.0,-2144406.371826061,2137751.658031556,2018-10-01,8,2018,10,298.071044921875,295.85302734375,294.73046875,293.572265625,292.154052734375,290.64788818359375,289.0830078125,287.47332763671875,285.7967529296875,284.2359924316406,283.47271728515625,282.9806213378906,282.19219970703125,279.310302734375,276.04296875,273.0126953125,268.623046875,262.9895935058594,256.53314208984375,250.0983123779297,241.9695587158203,237.81202697753906,233.10293579101562,227.4109344482422,221.20594787597656,214.86492919921875,207.7993621826172,201.15476989746094,198.50009155273438,113.18955993652344,336.1575927734375,562.570556640625,794.041259765625,1030.75,1272.556640625,1520.760498046875,1773.71044921875,2034.08203125,2299.811767578125,2572.65673828125,2854.696044921875,3146.452880859375,3757.548583984375,4409.60302734375,5109.80078125,5867.05078125,6687.890625,7584.02734375,8574.89453125,9687.4453125,10298.38671875,10956.23828125,11666.91796875,12440.94921875,13294.5,14247.68359375,15339.51171875,16639.92578125,0.016222532838582993,0.01591295562684536,0.01206857617944479,0.011069046333432198,0.010407548397779465,0.009744747541844845,0.009045762941241264,0.008289999328553677,0.007489999756217003,0.006569999735802412,0.005429999902844429,0.004509999882429838,0.003920000046491623,0.0030529999639838934,0.0020719999447464943,0.0011050000321120024,0.0006019999855197966,0.00042299999040551484,0.00028899998869746923,0.00022000000171829015,0.0003211067814845592,0.00017757021123543382,0.00010500507050892338,8.142634032992646e-05,5.729999975301325e-05,3.5210003261454403e-05,1.576000067871064e-05,6.738654519722331e-06,5.075717126601376e-06,0.75,0.32500001788139343,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.25,0.25,0.13731813430786133,0.1999785453081131,-7.7644195556640625,-8.016921997070312,-8.8951416015625,-8.287994384765625,-7.6000518798828125,-6.7970123291015625,-6.0510101318359375,-5.76202392578125,-6.180023193359375,-7.345977783203125,-8.890731811523438,-10.391921997070312,-11.72760009765625,-12.61846923828125,-12.538711547851562,-11.323989868164062,-7.343658447265625,-6.573516845703125,-7.1258544921875,-7.3917388916015625,-3.612396240234375,-1.3132171630859375,0.5176239013671875,3.081298828125,0.3587646484375,-2.841827392578125,-1.30767822265625,2.200192451477051,-3.6869678497314453
872075.0,21497284.0,-2068732.6575137204,1484956.8994050222,2018-10-09,5,2018,10,298.89483642578125,296.79150390625,294.95263671875,292.938720703125,291.6785583496094,290.0845947265625,288.906982421875,287.3580627441406,285.6038818359375,284.44573974609375,283.10272216796875,281.7083740234375,280.2556457519531,278.0967102050781,276.61517333984375,274.26727294921875,270.151123046875,265.14898681640625,259.59033203125,251.51187133789062,242.0814666748047,237.42031860351562,232.11395263671875,226.4384307861328,220.37770080566406,214.25392150878906,208.2605743408203,201.24278259277344,197.4987335205078,111.63760375976562,335.4026794433594,563.124267578125,794.332275390625,1030.987060546875,1272.759521484375,1520.490478515625,1773.6650390625,2033.810791015625,2299.56591796875,2573.677734375,2854.970703125,3144.994140625,3752.84521484375,4404.1708984375,5107.3671875,5868.56640625,6694.8203125,7600.17578125,8601.53515625,9715.37109375,10326.1875,10982.01953125,11689.484375,12460.34375,13310.55078125,14264.0546875,15357.75390625,16656.28125,0.01711443066596985,0.016331922262907028,0.01454146672040224,0.013307793997228146,0.011691627092659473,0.010997378267347813,0.010439999401569366,0.009750000201165676,0.008979999460279942,0.00827999971807003,0.007689999882131815,0.00711999973282218,0.006389999762177467,0.00418600020930171,0.002179000061005354,0.001303000026382506,0.0011050000321120024,0.0007340000011026859,0.00041599999531172216,0.00023200000578071922,0.0002103236474795267,0.00016959781351033598,0.00011649438965832815,6.53388342470862e-05,3.3107939088949934e-05,1.920000067912042e-05,7.904856829554774e-06,6.126290372776566e-06,4.49593790108338e-06,0.8500000238418579,0.25,0.2750000059604645,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.2051352560520172,0.20000000298023224,-6.1139984130859375,-6.2775421142578125,-6.3551788330078125,-6.2783966064453125,-6.390899658203125,-5.6771697998046875,-4.608642578125,-3.4525146484375,-2.3948211669921875,-1.3346405029296875,-0.26458740234375,0.923370361328125,2.4807586669921875,5.71527099609375,5.2257232666015625,-0.1540374755859375,-1.8332366943359375,-2.403228759765625,-1.4263458251953125,0.155029296875,0.2460784912109375,0.6768798828125,5.168365478515625,8.022354125976562,3.8704833984375,3.0297088623046875,6.3459625244140625,7.410994529724121,3.5803985595703125
