_uid_,id,longitude,latitude,initialdate,days,year,month,air_level_1000,air_level_975,air_level_950,air_level_925,air_level_900,air_level_875,air_level_850,air_level_825,air_level_800,air_level_775,air_level_750,air_level_725,air_level_700,air_level_650,air_level_600,air_level_550,air_level_500,air_level_450,air_level_400,air_level_350,air_level_300,air_level_275,air_level_250,air_level_225,air_level_200,air_level_175,air_level_150,air_level_125,air_level_100,hgt_level_1000,hgt_level_975,hgt_level_950,hgt_level_925,hgt_level_900,hgt_level_875,hgt_level_850,hgt_level_825,hgt_level_800,hgt_level_775,hgt_level_750,hgt_level_725,hgt_level_700,hgt_level_650,hgt_level_600,hgt_level_550,hgt_level_500,hgt_level_450,hgt_level_400,hgt_level_350,hgt_level_300,hgt_level_275,hgt_level_250,hgt_level_225,hgt_level_200,hgt_level_175,hgt_level_150,hgt_level_125,hgt_level_100,omega_level_1000,omega_level_975,omega_level_950,omega_level_925,omega_level_900,omega_level_875,omega_level_850,omega_level_825,omega_level_800,omega_level_775,omega_level_750,omega_level_725,omega_level_700,omega_level_650,omega_level_600,omega_level_550,omega_level_500,omega_level_450,omega_level_400,omega_level_350,omega_level_300,omega_level_275,omega_level_250,omega_level_225,omega_level_200,omega_level_175,omega_level_150,omega_level_125,omega_level_100,shum_level_1000,shum_level_975,shum_level_950,shum_level_925,shum_level_900,shum_level_875,shum_level_850,shum_level_825,shum_level_800,shum_level_775,shum_level_750,shum_level_725,shum_level_700,shum_level_650,shum_level_600,shum_level_550,shum_level_500,shum_level_450,shum_level_400,shum_level_350,shum_level_300,shum_level_275,shum_level_250,shum_level_225,shum_level_200,shum_level_175,shum_level_150,shum_level_125,shum_level_100,tke_level_1000,tke_level_975,tke_level_950,tke_level_925,tke_level_900,tke_level_875,tke_level_850,tke_level_825,tke_level_800,tke_level_775,tke_level_750,tke_level_725,tke_level_700,tke_level_650,tke_level_600
884136.0,13326147.0,-2149861.708709486,2709140.220452455,2011-11-01,2,2011,11,296.30596923828125,294.60089111328125,293.09124755859375,291.4678955078125,289.73138427734375,288.0126953125,286.27569580078125,285.0921630859375,284.36956787109375,283.3350524902344,282.0030822753906,280.3148193359375,278.66522216796875,275.5709533691406,272.58721923828125,270.03173828125,266.84002685546875,262.01708984375,255.43321228027344,247.52650451660156,238.75804138183594,233.52838134765625,228.8628387451172,224.19046020507812,218.0416717529297,212.16744995117188,205.0401611328125,200.07965087890625,200.39151000976562,134.89141845703125,357.0353698730469,582.5985717773438,812.359130859375,1047.4287109375,1286.541259765625,1531.968017578125,1782.71630859375,2040.844970703125,2305.739501953125,2578.390869140625,2858.55029296875,3146.8662109375,3749.731201171875,4392.4677734375,5084.34375,5833.828125,6650.92578125,7543.91796875,8527.58203125,9626.5234375,10227.7734375,10873.453125,11573.43359375,12336.125,13178.0390625,14119.23046875,15199.4765625,16501.96484375,0.039600491523742676,0.046525001525878906,0.06452369689941406,0.0818023681640625,0.10625362396240234,0.13573169708251953,0.14666366577148438,0.13239192962646484,0.09010124206542969,0.04086112976074219,0.01276397705078125,4.76837158203125e-06,-0.0006084442138671875,0.020493507385253906,0.05102252960205078,0.0782175064086914,0.1002798080444336,0.10829925537109375,0.07303428649902344,-0.0022706985473632812,-0.06139945983886719,-0.07287788391113281,-0.08949470520019531,-0.10247039794921875,-0.03763771057128906,0.04884910583496094,0.04849892854690552,0.01839447021484375,0.009021520614624023,0.01598893664777279,0.01441926322877407,0.013331464491784573,0.012192369438707829,0.010997851379215717,0.009774930775165558,0.008571415208280087,0.007448431570082903,0.007019999902695417,0.006839999929070473,0.006539999973028898,0.005909999832510948,0.00494999997317791,0.002526999916881323,0.0007989999721758068,0.00015900000289548188,2.4000000848900527e-05,5.100000271340832e-05,0.0002629999944474548,0.0004720000142697245,0.0003448000061325729,0.0002610000083222985,0.00016939999477472156,0.00010299999848939478,5.118999979458749e-05,2.4601376935606822e-05,9.850001333688851e-06,5.713173322874354e-06,4.313254976295866e-06,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.25,0.25,0.1256260871887207,0.19946059584617615
884127.0,13326134.0,-1657739.6589857168,2826685.861594857,2011-11-01,5,2011,11,296.30596923828125,294.19464111328125,292.65374755859375,291.2491455078125,289.82513427734375,288.3720703125,286.83819580078125,285.2640380859375,283.80706787109375,282.5694274902344,282.0499572753906,280.7366943359375,279.10272216796875,275.8990783691406,272.71221923828125,269.90673828125,266.65252685546875,261.90771484375,255.37071228027344,247.33900451660156,238.30491638183594,233.45025634765625,229.8159637451172,223.75296020507812,218.2760467529297,212.33932495117188,204.9307861328125,200.03277587890625,200.42276000976562,135.89141845703125,357.5353698730469,582.5985717773438,812.359130859375,1047.4287109375,1287.041259765625,1532.968017578125,1783.71630859375,2041.844970703125,2306.239501953125,2577.890869140625,2858.55029296875,3147.3662109375,3751.231201171875,4393.9677734375,5085.84375,5834.828125,6651.42578125,7543.91796875,8527.58203125,9624.5234375,10225.7734375,10871.953125,11572.93359375,12335.125,13178.0390625,14119.73046875,15199.4765625,16501.46484375,0.012256741523742676,0.026993751525878906,0.029367446899414062,0.0232086181640625,0.008597373962402344,-0.004893302917480469,-0.001773834228515625,0.019110679626464844,0.03931999206542969,0.04086112976074219,0.01667022705078125,-0.015620231628417969,-0.03185844421386719,-0.030287742614746094,-0.007571220397949219,0.023530006408691406,0.061217308044433594,0.08876800537109375,0.07303428649902344,0.02897930145263672,-0.05358695983886719,-0.11194038391113281,-0.1324634552001953,-0.09075164794921875,-0.025918960571289062,0.03322410583496094,0.03678017854690552,0.01839447021484375,0.009021520614624023,0.014558936469256878,0.014089263044297695,0.012511463835835457,0.011722369119524956,0.010937850922346115,0.0101249311119318,0.009221415035426617,0.008298431523144245,0.007430000230669975,0.006690000183880329,0.006300000008195639,0.005609999876469374,0.0045010000467300415,0.002096999902278185,0.0005859999801032245,8.099999831756577e-05,1.0000010206567822e-06,5.700000110664405e-05,0.0002519999979995191,0.00043200000072829425,0.00036299999919719994,0.00027469999622553587,0.0002010000025620684,0.00010270000348100439,5.032000262872316e-05,2.6271376555087045e-05,1.010000141832279e-05,5.803173280582996e-06,3.9442552406399045e-06,0.32499998807907104,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.25,0.25,0.1256260871887207,0.19946059584617615
884142.0,13326160.0,-2138727.7140078857,2611173.615606449,2011-11-01,4,2011,11,296.74346923828125,295.00714111328125,293.23187255859375,291.5303955078125,289.68450927734375,287.8408203125,285.71319580078125,285.1390380859375,284.61956787109375,283.3975524902344,281.8624572753906,280.1273193359375,278.43084716796875,275.3365783691406,272.44659423828125,270.10986328125,267.05877685546875,262.17333984375,255.54258728027344,247.68275451660156,238.92991638183594,233.76275634765625,228.8315887451172,223.22171020507812,218.2604217529297,212.26119995117188,205.0714111328125,199.92340087890625,200.37588500976562,133.39141845703125,356.0353698730469,582.0985717773438,812.359130859375,1047.4287109375,1286.541259765625,1531.968017578125,1782.21630859375,2040.844970703125,2305.739501953125,2577.890869140625,2858.05029296875,3146.3662109375,3749.231201171875,4391.4677734375,5083.34375,5833.328125,6650.92578125,7544.41796875,8529.08203125,9628.0234375,10230.2734375,10875.953125,11573.93359375,12335.625,13178.5390625,14120.23046875,15199.9765625,16501.46484375,-0.030712008476257324,-0.0784749984741211,-0.09172630310058594,-0.0744476318359375,-0.030465126037597656,0.03026294708251953,0.06853866577148438,0.07379817962646484,0.04713249206542969,0.013517379760742188,-0.01067352294921875,-0.02343273162841797,-0.027952194213867188,0.0009622573852539062,0.03930377960205078,0.0664987564086914,0.0807485580444336,0.06923675537109375,0.022253036499023438,-0.04523944854736328,-0.07702445983886719,-0.06115913391113281,-0.03480720520019531,-0.03606414794921875,-0.018106460571289062,0.017599105834960938,0.0016239285469055176,-0.01676177978515625,-0.0026972293853759766,0.017258936539292336,0.015769263729453087,0.014751464128494263,0.013412369415163994,0.012317851185798645,0.01024493109434843,0.009151414968073368,0.007718431297689676,0.007089999970048666,0.006909999996423721,0.006630000192672014,0.006149999797344208,0.005400000140070915,0.0031560000497847795,0.001180000021122396,0.0002610000083222985,7.400000322377309e-05,8.299999899463728e-05,0.000291000003926456,0.0004769999941345304,0.0003189000126440078,0.00023400000645779073,0.00015530000382568687,8.489999891025946e-05,4.66900019091554e-05,2.4271375878015533e-05,9.890000910672825e-06,5.613173470919719e-06,4.508255187829491e-06,0.25,0.25,0.25,0.25,0.25,0.2750000059604645,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.25,0.25,0.1256260871887207,0.19946059584617615
884146.0,13326185.0,-897905.0198223216,1105086.3003102115,2011-11-01,2,2011,11,296.99346923828125,295.47589111328125,294.12249755859375,292.5616455078125,290.63763427734375,288.9970703125,287.72882080078125,286.8265380859375,285.85394287109375,284.7881774902344,283.6437072753906,282.3616943359375,280.97772216796875,278.2897033691406,275.00909423828125,271.87548828125,267.73065185546875,262.59521484375,256.7769775390625,248.91712951660156,240.71116638183594,237.20025634765625,232.0503387451172,226.76858520507812,220.3385467529297,212.62057495117188,206.0870361328125,200.29840087890625,198.09463500976562,92.39141845703125,314.5353698730469,540.5985717773438,771.359130859375,1007.9287109375,1248.541259765625,1494.968017578125,1747.21630859375,2005.844970703125,2272.739501953125,2546.890869140625,2828.55029296875,3119.3662109375,3728.231201171875,4377.4677734375,5074.84375,5829.328125,6648.42578125,7545.41796875,8535.08203125,9640.0234375,10248.7734375,10904.453125,11612.43359375,12385.125,13231.0390625,14175.73046875,15259.9765625,16556.96484375,-0.08539950847625732,-0.1097249984741211,-0.06438255310058594,-0.0119476318359375,0.035941123962402344,0.06932544708251953,0.08025741577148438,0.08942317962646484,0.09400749206542969,0.10336112976074219,0.09870147705078125,0.08203601837158203,0.05017280578613281,-0.010756492614746094,-0.05053997039794922,-0.0897512435913086,-0.0950326919555664,-0.07138824462890625,-0.08321571350097656,-0.08430194854736328,-0.1863994598388672,-0.2135028839111328,-0.1598072052001953,-0.06340789794921875,0.009237289428710938,0.03322410583496094,0.013342678546905518,-0.03238677978515625,-0.05347847938537598,0.01681893691420555,0.015329263173043728,0.014171464368700981,0.012662368826568127,0.011417850852012634,0.010064930655062199,0.008981415070593357,0.008168431930243969,0.007540000136941671,0.0069599999114871025,0.006339999847114086,0.005669999867677689,0.004900999832898378,0.0032820000778883696,0.002085000043734908,0.0010100000072270632,0.0006350000039674342,0.0011149999918416142,0.0005419999943114817,0.0005910000181756914,0.0005219000158831477,0.0004101000085938722,0.00024110000231303275,0.00012670000432990491,6.428999768104404e-05,2.5031376935658045e-05,1.089000124920858e-05,5.343173597793793e-06,4.389255082060117e-06,0.25,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.25,0.25,0.1256260871887207,0.19946059584617615
884107.0,13326072.0,-1927795.177234378,1262593.953461851,2011-11-02,0,2011,11,296.2630615234375,294.21343994140625,292.31524658203125,291.39990234375,290.62701416015625,289.51617431640625,288.36614990234375,286.91015625,285.5386047363281,284.2313232421875,283.28765869140625,282.3140869140625,281.1217346191406,278.11944580078125,274.400146484375,270.51776123046875,266.56884765625,262.4072265625,257.469970703125,249.8386688232422,241.6085205078125,236.2364044189453,231.17144775390625,225.52291870117188,219.54953002929688,213.0531463623047,207.0451202392578,200.118896484375,198.7289276123047,83.37060546875,304.78082275390625,529.9141235351562,759.265625,994.826171875,1235.922119140625,1483.386474609375,1735.675048828125,1995.052001953125,2261.6162109375,2535.07177734375,2817.058837890625,3108.145751953125,3717.09814453125,4366.23046875,5062.19140625,5813.5703125,6631.28515625,7530.09375,8523.375,9633.50390625,10242.26171875,10894.8359375,11599.91796875,12367.8203125,13213.76171875,14161.5,15249.21875,16544.84375,0.030182242393493652,0.05256080627441406,0.06363773345947266,0.06073951721191406,0.013760566711425781,-0.0118408203125,-0.01710987091064453,0.011933326721191406,0.05254173278808594,0.09872722625732422,0.13315391540527344,0.15242958068847656,0.16907691955566406,0.1727771759033203,0.1312255859375,0.10652637481689453,0.07755374908447266,0.01708698272705078,0.0019321441650390625,-0.016956329345703125,-0.05032062530517578,-0.043114662170410156,-0.04926490783691406,-0.06907176971435547,-0.11414432525634766,-0.17882728576660156,-0.15790605545043945,-0.04012042284011841,0.021401047706604004,0.015610038302838802,0.014449898153543472,0.013251897878944874,0.0117051275447011,0.011192139238119125,0.010830000042915344,0.010250000283122063,0.009569999761879444,0.008969999849796295,0.008349999785423279,0.0075599998235702515,0.006730000022798777,0.005905999802052975,0.0043750000186264515,0.003783999942243099,0.004035999998450279,0.003358999965712428,0.002584999892860651,0.0013859999598935246,0.0006880000000819564,0.0003659999929368496,0.00025690000620670617,0.00017605014727450907,0.00012129999959142879,7.170999742811546e-05,3.3390002499800175e-05,1.4965468835725915e-05,5.468622930493439e-06,2.433843292237725e-06,0.5,0.75,0.625,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1368447244167328,0.19990749657154083
884127.0,13326134.0,-1657739.6589857168,2826685.861594857,2011-11-02,5,2011,11,297.1536865234375,295.02593994140625,292.97149658203125,291.19677734375,289.70513916015625,288.14117431640625,286.53802490234375,284.94140625,283.2261047363281,281.6375732421875,280.44390869140625,279.5797119140625,278.0904846191406,274.41632080078125,270.650146484375,266.92401123046875,263.02197265625,258.7041015625,253.48561096191406,246.2136688232422,237.8897705078125,233.4082794189453,228.64019775390625,223.96041870117188,219.44015502929688,214.4593963623047,209.4513702392578,205.462646484375,201.5570526123047,139.87060546875,362.78082275390625,587.9141235351562,817.765625,1052.826171875,1291.922119140625,1537.886474609375,1788.675048828125,2046.052001953125,2309.6162109375,2580.57177734375,2859.558837890625,3147.145751953125,3749.09814453125,4388.73046875,5075.19140625,5815.5703125,6621.78515625,7506.09375,8484.375,9577.50390625,10177.76171875,10822.8359375,11521.41796875,12286.3203125,13134.76171875,14091.5,15198.21875,16528.34375,0.0028384923934936523,0.025217056274414062,0.044106483459472656,0.04120826721191406,0.04110431671142578,0.0545654296875,0.08445262908935547,0.1252145767211914,0.16582298278808594,0.18857097625732422,0.18784141540527344,0.16805458068847656,0.14173316955566406,0.11418342590332031,0.1038818359375,0.10652637481689453,0.11661624908447266,0.11474323272705078,0.11130714416503906,0.11585617065429688,0.05514812469482422,-0.00014591217041015625,-0.025827407836914062,-0.014384269714355469,-0.004769325256347656,-0.0030460357666015625,-0.013374805450439453,-0.028401672840118408,-0.029380202293395996,0.013650038279592991,0.013469898141920567,0.012981897220015526,0.011855127289891243,0.011162139475345612,0.010370000265538692,0.009510000236332417,0.00863999966531992,0.0077599999494850636,0.006870000157505274,0.006180000025779009,0.00570000009611249,0.005187999922782183,0.004153000190854073,0.003143999958410859,0.0023610000498592854,0.001892999978736043,0.0014140000566840172,0.0007970000151544809,0.0004079999926034361,0.0002491000050213188,0.00017719999596010894,9.385015437146649e-05,5.2999999752501026e-05,3.654000101960264e-05,2.471000152581837e-05,1.4885468772263266e-05,6.0286229199846275e-06,2.0758434402523562e-06,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1368447244167328,0.19990749657154083
884138.0,13326155.0,-2183671.542448593,2648960.9599991804,2011-11-02,2,2011,11,296.9974365234375,294.97906494140625,293.23712158203125,291.38427734375,289.64263916015625,287.57867431640625,285.78802490234375,285.06640625,283.7573547363281,282.4500732421875,281.05328369140625,279.5797119140625,277.8561096191406,274.30694580078125,270.790771484375,267.39276123046875,263.44384765625,259.1728515625,254.09498596191406,246.9792938232422,238.2960205078125,233.4082794189453,228.78082275390625,223.94479370117188,219.23703002929688,214.0687713623047,209.1544952392578,205.150146484375,201.8851776123047,135.87060546875,358.78082275390625,584.4141235351562,814.765625,1049.326171875,1287.922119140625,1532.886474609375,1783.675048828125,2041.552001953125,2306.1162109375,2577.57177734375,2856.558837890625,3144.145751953125,3745.59814453125,4384.73046875,5071.69140625,5813.5703125,6620.78515625,7506.59375,8487.375,9583.50390625,10184.26171875,10829.3359375,11528.41796875,12293.3203125,13139.76171875,14095.0,15200.71875,16529.34375,0.010650992393493652,0.07209205627441406,0.12223148345947266,0.15839576721191406,0.19735431671142578,0.2147216796875,0.20554637908935547,0.1838083267211914,0.16972923278808594,0.15732097625732422,0.14096641540527344,0.12508583068847656,0.11048316955566406,0.09074592590332031,0.0765380859375,0.07527637481689453,0.08145999908447266,0.06396198272705078,0.05271339416503906,0.049449920654296875,0.04733562469482422,0.019385337829589844,-0.0062961578369140625,-0.010478019714355469,-0.0008630752563476562,0.008672714233398438,0.010062694549560547,-0.008870422840118408,-0.013755202293395996,0.015540038235485554,0.014649897813796997,0.012961897999048233,0.0117051275447011,0.010492139495909214,0.009669999592006207,0.009050000458955765,0.007899999618530273,0.007350000087171793,0.006810000166296959,0.006140000186860561,0.005470000207424164,0.004852000158280134,0.003647000063210726,0.0023690001107752323,0.0015379999531432986,0.001272000023163855,0.0009710000013001263,0.0004600000102072954,0.00018000000272877514,0.00013220000255387276,0.00012409999908413738,9.535015124129131e-05,5.9699999837903306e-05,3.814000228885561e-05,2.555000173742883e-05,1.5305469787563197e-05,6.4986229517671745e-06,2.967843329315656e-06,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1368447244167328,0.19990749657154083
884136.0,13326147.0,-2149861.708709486,2709140.220452455,2011-11-02,2,2011,11,296.9974365234375,294.96343994140625,293.23712158203125,291.32177734375,289.64263916015625,287.65679931640625,285.91302490234375,285.08203125,283.6323547363281,282.2938232421875,280.95953369140625,279.5953369140625,277.9029846191406,274.30694580078125,270.712646484375,267.23651123046875,263.25634765625,259.0009765625,253.98561096191406,246.8699188232422,238.1866455078125,233.3926544189453,228.78082275390625,223.92916870117188,219.23703002929688,214.1312713623047,209.2169952392578,205.259521484375,201.8695526123047,136.87060546875,359.78082275390625,585.4141235351562,815.765625,1049.826171875,1288.922119140625,1534.386474609375,1785.175048828125,2042.552001953125,2307.1162109375,2578.57177734375,2857.558837890625,3145.145751953125,3746.59814453125,4385.73046875,5072.69140625,5814.0703125,6620.28515625,7506.09375,8486.375,9582.00390625,10182.76171875,10827.8359375,11526.41796875,12291.3203125,13138.26171875,14093.5,15199.71875,16529.34375,0.026275992393493652,0.06818580627441406,0.09879398345947266,0.11933326721191406,0.15047931671142578,0.1756591796875,0.17429637908935547,0.1720895767211914,0.16972923278808594,0.16513347625732422,0.15268516540527344,0.13680458068847656,0.12220191955566406,0.10246467590332031,0.0882568359375,0.08699512481689453,0.09708499908447266,0.09521198272705078,0.08005714416503906,0.07679367065429688,0.06686687469482422,0.035010337829589844,0.0054225921630859375,-0.0026655197143554688,0.010855674743652344,0.020391464233398438,0.017875194549560547,-0.008870422840118408,-0.013755202293395996,0.015250038355588913,0.0145098976790905,0.012991897761821747,0.01186512690037489,0.010822138749063015,0.009809999726712704,0.009109999984502792,0.008059999905526638,0.007439999841153622,0.006810000166296959,0.006149999797344208,0.005539999809116125,0.004966000095009804,0.003834000090137124,0.0026390000712126493,0.0017719999887049198,0.0014459999511018395,0.0011050000321120024,0.0005089999758638442,0.00020700000459328294,0.00015140000323299319,0.00013919999764766544,0.0001006501552183181,5.880000026081689e-05,3.7900001188972965e-05,2.5480001568212174e-05,1.5365469153039157e-05,6.448623025789857e-06,2.7838434561999748e-06,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1368447244167328,0.19990749657154083
884142.0,13326160.0,-2138727.7140078857,2611173.615606449,2011-11-02,4,2011,11,297.1224365234375,295.18218994140625,293.37774658203125,291.55615234375,289.73638916015625,287.70367431640625,285.72552490234375,285.06640625,283.8979797363281,282.6063232421875,281.13140869140625,279.5328369140625,277.8092346191406,274.33819580078125,270.931396484375,267.75213623046875,263.88134765625,259.6103515625,254.28248596191406,247.1199188232422,238.4678955078125,233.4707794189453,228.81207275390625,223.94479370117188,219.22140502929688,214.0062713623047,209.0607452392578,204.900146484375,201.8539276123047,133.87060546875,357.28082275390625,582.9141235351562,813.265625,1047.826171875,1286.922119140625,1531.886474609375,1782.175048828125,2040.552001953125,2304.6162109375,2576.07177734375,2855.558837890625,3143.145751953125,3744.09814453125,4383.73046875,5070.69140625,5813.5703125,6622.28515625,7509.09375,8490.375,9587.00390625,10188.26171875,10833.8359375,11532.41796875,12296.8203125,13144.26171875,14098.5,15203.21875,16530.84375,0.04971349239349365,0.12287330627441406,0.18863773345947266,0.23652076721191406,0.2832918167114258,0.2967529296875,0.28367137908935547,0.2463083267211914,0.21269798278808594,0.18466472625732422,0.16049766540527344,0.13680458068847656,0.12220191955566406,0.09855842590332031,0.0921630859375,0.09480762481689453,0.08536624908447266,0.04833698272705078,0.021463394165039062,0.022106170654296875,0.02389812469482422,0.007666587829589844,-0.010202407836914062,-0.014384269714355469,-0.008675575256347656,0.0008602142333984375,0.010062694549560547,-0.0010579228401184082,-0.009848952293395996,0.016010038554668427,0.014799898490309715,0.013111897744238377,0.011725126765668392,0.010432139039039612,0.009650000371038914,0.008990000002086163,0.007770000025629997,0.007180000189691782,0.006719999946653843,0.006070000119507313,0.005319999996572733,0.004635999910533428,0.0032909999135881662,0.0018779999809339643,0.0011030000168830156,0.0009500000160187483,0.000666000007186085,0.00034600001526996493,0.0001630000042496249,0.00011649999942164868,0.00011049999739043415,8.655014971736819e-05,5.880000026081689e-05,3.794000076595694e-05,2.533000042603817e-05,1.4885468772263266e-05,6.48862260277383e-06,3.3238434298255015e-06,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1368447244167328,0.19990749657154083
884146.0,13326185.0,-897905.0198223216,1105086.3003102115,2011-11-02,2,2011,11,296.6536865234375,294.60406494140625,292.59649658203125,291.32177734375,290.34576416015625,289.42242431640625,288.38177490234375,287.00390625,285.6792297363281,284.5438232421875,283.42828369140625,282.2672119140625,280.9811096191406,277.99444580078125,274.603271484375,271.36151123046875,267.20947265625,262.5947265625,256.954345703125,249.9949188232422,241.0772705078125,236.5332794189453,231.81207275390625,226.55416870117188,219.22140502929688,212.5062713623047,206.9513702392578,200.447021484375,198.7914276123047,81.87060546875,303.28082275390625,528.4141235351562,758.265625,993.326171875,1234.422119140625,1481.886474609375,1734.175048828125,1993.552001953125,2260.6162109375,2534.57177734375,2816.558837890625,3107.145751953125,3716.59814453125,4365.23046875,5063.19140625,5816.5703125,6635.78515625,7533.59375,8526.875,9636.00390625,10244.26171875,10898.3359375,11605.91796875,12375.3203125,13219.26171875,14166.0,15253.71875,16551.84375,-0.008880257606506348,0.009592056274414062,0.032387733459472656,0.05292701721191406,0.05672931671142578,0.0662841796875,0.08835887908935547,0.1330270767211914,0.17754173278808594,0.23153972625732422,0.27768516540527344,0.32430458068847656,0.35267066955566406,0.3446521759033203,0.2523193359375,0.15340137481689453,0.054116249084472656,-0.04541301727294922,-0.05275535583496094,-0.009143829345703125,-0.0034456253051757812,-0.07436466217041016,-0.15473365783691406,-0.16282176971435547,-0.10242557525634766,-0.05773353576660156,-0.06415605545043945,-0.07918292284011841,-0.052817702293395996,0.015820037573575974,0.014729898422956467,0.013571897521615028,0.01198512688279152,0.011362139135599136,0.01083999965339899,0.010180000215768814,0.009549999609589577,0.008919999934732914,0.008209999650716782,0.007499999832361937,0.006850000005215406,0.006227999925613403,0.0051739998161792755,0.004530000034719706,0.0040699997916817665,0.003490000031888485,0.00253800000064075,0.00164899998344481,0.0008999999845400453,0.000515200023073703,0.00036800000816583633,0.0002472501655574888,0.00014350000128615648,6.233000021893531e-05,2.708000101847574e-05,1.3755468899034895e-05,5.988622888253303e-06,3.3128433187812334e-06,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1368447244167328,0.19990749657154083
