_uid_,id,longitude,latitude,initialdate,days,year,month,air_level_1000,air_level_975,air_level_950,air_level_925,air_level_900,air_level_875,air_level_850,air_level_825,air_level_800,air_level_775,air_level_750,air_level_725,air_level_700,air_level_650,air_level_600,air_level_550,air_level_500,air_level_450,air_level_400,air_level_350,air_level_300,air_level_275,air_level_250,air_level_225,air_level_200,air_level_175,air_level_150,air_level_125,air_level_100,hgt_level_1000,hgt_level_975,hgt_level_950,hgt_level_925,hgt_level_900,hgt_level_875,hgt_level_850,hgt_level_825,hgt_level_800,hgt_level_775,hgt_level_750,hgt_level_725,hgt_level_700,hgt_level_650,hgt_level_600,hgt_level_550,hgt_level_500,hgt_level_450,hgt_level_400,hgt_level_350,hgt_level_300,hgt_level_275,hgt_level_250,hgt_level_225,hgt_level_200,hgt_level_175,hgt_level_150,hgt_level_125,hgt_level_100,tke_level_1000,tke_level_975,tke_level_950,tke_level_925,tke_level_900,tke_level_875,tke_level_850,tke_level_825,tke_level_800,tke_level_775,tke_level_750,tke_level_725,tke_level_700,tke_level_650,tke_level_600,vwnd_level_1000,vwnd_level_975,vwnd_level_950,vwnd_level_925,vwnd_level_900,vwnd_level_875,vwnd_level_850,vwnd_level_825,vwnd_level_800,vwnd_level_775,vwnd_level_750,vwnd_level_725,vwnd_level_700,vwnd_level_650,vwnd_level_600,vwnd_level_550,vwnd_level_500,vwnd_level_450,vwnd_level_400,vwnd_level_350,vwnd_level_300,vwnd_level_275,vwnd_level_250,vwnd_level_225,vwnd_level_200,vwnd_level_175,vwnd_level_150,vwnd_level_125,vwnd_level_100
643247.0,15369134.0,-2120824.010709691,2748010.2171139666,2013-09-01,8,2013,9,297.528564453125,295.37939453125,293.527099609375,291.810302734375,290.2548828125,288.68896484375,287.205810546875,285.7578125,284.377685546875,283.60400390625,283.053955078125,282.7095031738281,281.9808654785156,280.0977783203125,277.17669677734375,273.6679382324219,268.80572509765625,263.611572265625,257.0726318359375,248.86549377441406,241.2323760986328,236.89393615722656,231.5469970703125,225.27642822265625,221.92112731933594,215.0019073486328,206.46932983398438,200.0692901611328,199.48727416992188,145.41807556152344,368.59375,594.04150390625,824.91259765625,1060.06787109375,1299.09619140625,1545.5830078125,1796.731201171875,2055.5224609375,2320.234130859375,2593.655517578125,2875.6474609375,3166.4638671875,3778.039794921875,4431.7373046875,5134.5,5892.4453125,6713.90625,7612.796875,8602.046875,9708.265625,10317.5625,10971.5625,11675.9375,12449.125,13304.61328125,14254.94140625,15339.3125,16638.421875,0.4124999940395355,0.4749999940395355,0.2750000059604645,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.1408534049987793,0.19997388124465942,-4.2590789794921875,-4.5706787109375,-4.6396636962890625,-4.026153564453125,-3.3646240234375,-3.213348388671875,-3.2443695068359375,-3.6630401611328125,-4.2910003662109375,-4.4501800537109375,-3.7956390380859375,-1.7527008056640625,-0.2890167236328125,0.6554107666015625,0.67767333984375,0.7279815673828125,2.33929443359375,5.112518310546875,5.759857177734375,5.4197540283203125,10.537277221679688,10.713470458984375,9.918594360351562,9.643539428710938,9.982925415039062,10.011016845703125,7.91448974609375,5.47015380859375,3.754995346069336
643149.0,15368991.0,-1947813.5110837703,1509557.4071477042,2013-09-01,2,2013,9,295.919189453125,294.09814453125,292.089599609375,290.497802734375,289.3017578125,288.31396484375,287.127685546875,285.8984375,284.596435546875,283.32275390625,282.022705078125,280.7095031738281,279.3871154785156,276.4415283203125,273.39544677734375,271.4335632324219,268.60260009765625,264.611572265625,258.9788818359375,251.49049377441406,242.4198760986328,237.58143615722656,233.1719970703125,227.90142822265625,220.76487731933594,213.1894073486328,205.09432983398438,200.3192901611328,199.72164916992188,103.91807556152344,325.09375,550.04150390625,779.41259765625,1013.56787109375,1253.59619140625,1500.0830078125,1751.731201171875,2011.0224609375,2275.734130859375,2548.655517578125,2829.1474609375,3118.4638671875,3724.539794921875,4370.2373046875,5067.0,5822.4453125,6647.40625,7551.796875,8551.546875,9667.265625,10279.0625,10936.0625,11647.9375,12422.625,13271.61328125,14215.44140625,15295.3125,16597.421875,0.25,0.2750000059604645,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.1408534049987793,0.19997388124465942,0.3190460205078125,0.7730712890625,1.1884613037109375,1.973846435546875,1.9635009765625,1.927276611328125,1.6931304931640625,1.2588348388671875,0.7402496337890625,0.2216949462890625,-0.2018890380859375,-0.6120758056640625,-1.1171417236328125,-2.3758392333984375,-4.10357666015625,-4.0532684326171875,-1.67633056640625,-0.903106689453125,0.791107177734375,1.7166290283203125,-0.8689727783203125,-1.161529541015625,-0.9564056396484375,-2.0752105712890625,-1.2514495849609375,-2.473358154296875,-8.16363525390625,0.12640380859375,1.489370346069336
643258.0,15369183.0,-1522245.2586003505,2439674.0695095267,2013-09-01,14,2013,9,297.403564453125,295.61376953125,293.917724609375,292.216552734375,290.2548828125,288.28271484375,287.330810546875,286.3046875,285.018310546875,284.05712890625,282.975830078125,281.9126281738281,280.9027404785156,278.8790283203125,276.30169677734375,273.4648132324219,269.13385009765625,264.064697265625,258.2601318359375,250.24049377441406,242.0761260986328,237.19081115722656,231.6251220703125,226.65142822265625,220.59300231933594,214.2362823486328,205.85995483398438,200.9286651611328,200.00289916992188,132.41807556152344,356.09375,582.54150390625,812.91259765625,1048.56787109375,1288.09619140625,1534.0830078125,1785.731201171875,2045.0224609375,2310.234130859375,2583.655517578125,2864.6474609375,3154.9638671875,3764.039794921875,4415.2373046875,5117.0,5874.9453125,6697.90625,7599.296875,8594.046875,9705.765625,10316.0625,10971.0625,11678.4375,12449.625,13301.61328125,14249.44140625,15333.3125,16638.421875,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.1408534049987793,0.19997388124465942,-0.4309539794921875,-0.6488037109375,-1.1084136962890625,-1.573028564453125,-2.0208740234375,-2.228973388671875,-3.9318695068359375,-4.8505401611328125,-4.9941253662109375,-4.4501800537109375,-3.2331390380859375,-1.7370758056640625,-0.5390167236328125,-0.6414642333984375,-1.99420166015625,-2.9282684326171875,-2.11383056640625,-0.715606689453125,0.556732177734375,0.4666290283203125,5.6154022216796875,5.635345458984375,2.6060943603515625,6.7372894287109375,7.7641754150390625,4.542266845703125,0.18011474609375,1.53265380859375,3.348745346069336
711112.0,15512949.0,-1543768.498535319,2726542.7084785607,2013-09-01,10,2013,9,297.575439453125,295.44189453125,293.589599609375,291.966552734375,290.3642578125,288.75146484375,287.252685546875,285.8046875,284.393310546875,283.55712890625,282.960205078125,282.5220031738281,281.7621154785156,279.9571533203125,277.14544677734375,273.6991882324219,268.86822509765625,263.736572265625,257.2601318359375,248.97486877441406,241.2948760986328,236.92518615722656,231.5782470703125,225.29205322265625,221.81175231933594,215.1737823486328,206.31307983398438,200.1005401611328,199.50289916992188,143.91807556152344,367.59375,593.54150390625,823.91259765625,1059.06787109375,1298.59619140625,1545.0830078125,1796.231201171875,2055.0224609375,2319.734130859375,2592.655517578125,2874.6474609375,3165.4638671875,3776.539794921875,4430.2373046875,5133.0,5890.9453125,6712.90625,7612.296875,8602.046875,9708.265625,10318.0625,10972.0625,11676.4375,12449.625,13305.61328125,14254.94140625,15339.8125,16638.421875,0.2750000059604645,0.32499998807907104,0.2750000059604645,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.1408534049987793,0.19997388124465942,-4.8372039794921875,-5.1800537109375,-5.2490386962890625,-3.854278564453125,-3.1614990234375,-2.963348388671875,-2.9943695068359375,-3.3349151611328125,-3.9628753662109375,-4.1376800537109375,-3.4518890380859375,-1.5495758056640625,-0.2577667236328125,0.3741607666015625,0.03704833984375,-0.3032684326171875,1.22991943359375,4.018768310546875,5.072357177734375,4.5916290283203125,9.521652221679688,9.400970458984375,8.637344360351562,9.206039428710938,9.498550415039062,9.042266845703125,7.96136474609375,4.92327880859375,3.395620346069336
643257.0,15369166.0,-1524581.0215885618,2473723.0130640096,2013-09-01,24,2013,9,297.481689453125,295.69189453125,294.027099609375,292.325927734375,290.4267578125,288.34521484375,287.268310546875,286.1953125,284.908935546875,283.96337890625,282.975830078125,281.9438781738281,280.9027404785156,278.9415283203125,276.41107177734375,273.5429382324219,269.14947509765625,264.064697265625,258.2288818359375,250.08424377441406,241.9823760986328,237.14393615722656,231.6251220703125,226.29205322265625,220.82737731933594,214.4081573486328,205.81307983398438,200.8661651611328,200.04977416992188,133.41807556152344,357.59375,583.54150390625,814.41259765625,1050.06787109375,1289.59619140625,1535.5830078125,1787.231201171875,2046.0224609375,2311.734130859375,2584.655517578125,2866.1474609375,3156.4638671875,3765.539794921875,4416.7373046875,5118.5,5876.9453125,6699.90625,7601.296875,8595.546875,9706.265625,10317.0625,10971.5625,11677.9375,12449.625,13302.11328125,14250.44140625,15333.8125,16638.921875,0.25,0.20000000298023224,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.1408534049987793,0.19997388124465942,-1.6028289794921875,-1.6488037109375,-1.4677886962890625,-1.541778564453125,-1.8802490234375,-2.182098388671875,-4.1506195068359375,-5.1630401611328125,-5.4628753662109375,-5.1064300537109375,-3.9831390380859375,-2.3464508056640625,-0.9140167236328125,-0.6258392333984375,-1.83795166015625,-2.9595184326171875,-2.00445556640625,-0.324981689453125,1.041107177734375,0.7010040283203125,5.9747772216796875,5.635345458984375,3.1060943603515625,7.7216644287109375,8.264175415039062,3.698516845703125,1.27386474609375,1.72015380859375,3.379995346069336
711194.0,15513306.0,-1605131.1622151406,2856068.956730768,2013-09-01,2,2013,9,297.591064453125,295.73876953125,293.839599609375,291.825927734375,289.9892578125,288.20458984375,286.596435546875,285.2890625,284.190185546875,283.43212890625,283.100830078125,283.0688781738281,282.5902404785156,280.4727783203125,277.17669677734375,273.5741882324219,268.54010009765625,263.174072265625,256.5570068359375,248.59986877441406,241.1230010986328,236.75331115722656,231.4063720703125,225.29205322265625,221.65550231933594,214.9237823486328,206.64120483398438,200.2099151611328,199.76852416992188,147.91807556152344,371.59375,597.54150390625,827.91259765625,1063.56787109375,1302.59619140625,1548.5830078125,1799.231201171875,2057.5224609375,2322.734130859375,2595.655517578125,2877.6474609375,3169.4638671875,3782.039794921875,4435.7373046875,5138.5,5895.9453125,6716.40625,7613.796875,8601.546875,9706.765625,10315.5625,10969.5625,11673.4375,12446.125,13301.11328125,14251.44140625,15336.8125,16636.921875,0.4000000059604645,0.2750000059604645,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.1408534049987793,0.19997388124465942,-2.3372039794921875,-2.1488037109375,-1.9990386962890625,-2.244903564453125,-2.5364990234375,-2.963348388671875,-4.0412445068359375,-5.1630401611328125,-5.6660003662109375,-5.3564300537109375,-4.5143890380859375,-2.2683258056640625,-0.2733917236328125,1.4991607666015625,2.09954833984375,2.9779815673828125,4.77679443359375,7.409393310546875,6.837982177734375,6.6228790283203125,11.927902221679688,12.666595458984375,11.762344360351562,10.768539428710938,11.998550415039062,12.589141845703125,8.83636474609375,6.67327880859375,4.192495346069336
711169.0,15513189.0,-874892.0518156522,1206840.5887706743,2013-09-01,0,2013,9,295.544189453125,293.56689453125,291.902099609375,290.888427734375,290.1142578125,288.92333984375,287.471435546875,286.0234375,284.580810546875,283.15087890625,281.741455078125,280.4126281738281,279.3558654785156,276.6602783203125,273.66107177734375,270.4960632324219,267.64947509765625,264.408447265625,259.4476318359375,251.61549377441406,243.0448760986328,237.80018615722656,232.4532470703125,226.72955322265625,220.32737731933594,214.0487823486328,205.28182983398438,200.6005401611328,199.56539916992188,108.41807556152344,329.59375,553.54150390625,782.91259765625,1017.56787109375,1258.59619140625,1505.0830078125,1756.731201171875,2016.0224609375,2281.234130859375,2553.655517578125,2833.6474609375,3122.9638671875,3729.539794921875,4375.7373046875,5072.5,5823.9453125,6646.90625,7551.296875,8552.046875,9668.765625,10281.5625,10938.0625,11646.9375,12418.125,13269.11328125,14215.44140625,15295.8125,16598.921875,0.3125,0.2750000059604645,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.1408534049987793,0.19997388124465942,-4.9153289794921875,-4.8988037109375,-3.7021636962890625,-2.229278564453125,-1.8177490234375,-1.760223388671875,-1.9787445068359375,-2.5849151611328125,-3.5097503662109375,-4.5595550537109375,-5.6081390380859375,-6.6433258056640625,-7.6640167236328125,-9.422714233398438,-9.41607666015625,-5.8501434326171875,-3.23883056640625,-2.778106689453125,0.072357177734375,1.4978790283203125,-2.3845977783203125,-2.349029541015625,-3.5501556396484375,-3.2314605712890625,-2.7201995849609375,-8.473358154296875,-8.44488525390625,0.84515380859375,1.504995346069336
643255.0,15369147.0,-1662080.5397316753,2577873.836540845,2013-09-01,9,2013,9,297.731689453125,295.59814453125,293.777099609375,292.107177734375,290.4111328125,288.90771484375,287.627685546875,286.0703125,284.612060546875,283.68212890625,282.913330078125,282.0063781738281,280.9964904785156,279.1759033203125,276.77044677734375,273.7460632324219,269.14947509765625,264.080322265625,258.0413818359375,249.61549377441406,241.6542510986328,236.98768615722656,231.5938720703125,225.33892822265625,221.82737731933594,214.6425323486328,205.84432983398438,200.5224151611328,199.95602416992188,137.91807556152344,361.59375,587.54150390625,818.41259765625,1053.56787109375,1293.09619140625,1539.5830078125,1791.231201171875,2050.5224609375,2315.734130859375,2588.655517578125,2870.1474609375,3160.4638671875,3769.539794921875,4421.7373046875,5124.0,5882.4453125,6705.40625,7606.796875,8599.546875,9708.765625,10318.5625,10973.0625,11677.4375,12450.625,13305.11328125,14253.94140625,15336.8125,16639.421875,0.25,0.2750000059604645,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.1408534049987793,0.19997388124465942,-4.3372039794921875,-4.5081787109375,-3.9365386962890625,-2.635528564453125,-2.4427490234375,-3.072723388671875,-4.1349945068359375,-4.7099151611328125,-5.0566253662109375,-4.9970550537109375,-4.2331390380859375,-2.7527008056640625,-1.3358917236328125,-0.3914642333984375,-1.32232666015625,-2.4751434326171875,-1.17633056640625,1.128143310546875,2.744232177734375,2.1228790283203125,7.1310272216796875,6.666595458984375,5.1529693603515625,7.5654144287109375,8.482925415039062,5.995391845703125,4.39886474609375,2.56390380859375,3.051870346069336
763404.0,15368960.0,-2063612.2711338764,1912355.628516599,2013-09-01,32,2013,9,296.091064453125,294.06689453125,292.167724609375,290.325927734375,289.2236328125,288.09521484375,287.096435546875,286.1953125,285.190185546875,284.02587890625,282.835205078125,281.6938781738281,280.4183654785156,277.5040283203125,274.87982177734375,272.4335632324219,268.71197509765625,264.080322265625,258.3070068359375,251.53736877441406,242.8573760986328,237.92518615722656,232.9063720703125,226.99517822265625,220.18675231933594,213.7831573486328,205.56307983398438,200.2880401611328,200.22164916992188,108.41807556152344,329.59375,554.54150390625,783.91259765625,1017.56787109375,1257.59619140625,1503.5830078125,1754.731201171875,2014.5224609375,2280.234130859375,2553.655517578125,2835.1474609375,3124.9638671875,3733.539794921875,4382.2373046875,5082.0,5838.4453125,6661.90625,7563.296875,8561.046875,9678.265625,10291.0625,10948.0625,11658.4375,12429.625,13279.61328125,14225.94140625,15307.3125,16609.421875,0.5,0.3499999940395355,0.25,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.1408534049987793,0.19997388124465942,0.3659210205078125,0.8199462890625,1.4853363037109375,1.895721435546875,1.6510009765625,1.177276611328125,0.6931304931640625,0.0557098388671875,-0.6503753662109375,-1.1376800537109375,-1.1862640380859375,-0.8620758056640625,-0.4452667236328125,-0.1258392333984375,-1.22857666015625,-1.1470184326171875,-0.06695556640625,0.643768310546875,1.384857177734375,0.5135040283203125,0.6622772216796875,0.994720458984375,1.4029693603515625,0.7060394287109375,2.2016754150390625,2.229766845703125,-2.71051025390625,1.47015380859375,2.145620346069336
643250.0,15369137.0,-1653045.8472143116,2589591.75134504,2013-09-01,12,2013,9,297.684814453125,295.55126953125,293.620849609375,292.091552734375,290.5205078125,289.03271484375,287.643310546875,286.0234375,284.549560546875,283.63525390625,282.866455078125,281.9907531738281,281.0433654785156,279.3009033203125,276.89544677734375,273.7773132324219,269.11822509765625,264.033447265625,257.9320068359375,249.45924377441406,241.5448760986328,236.95643615722656,231.5938720703125,225.38580322265625,221.84300231933594,214.8300323486328,205.93807983398438,200.3661651611328,199.86227416992188,139.41807556152344,363.09375,589.04150390625,819.41259765625,1055.06787109375,1294.59619140625,1541.0830078125,1792.731201171875,2052.0224609375,2316.734130859375,2590.155517578125,2871.6474609375,3161.4638671875,3771.039794921875,4423.7373046875,5126.0,5884.4453125,6707.40625,7608.296875,8600.546875,9708.765625,10318.5625,10973.0625,11677.4375,12450.625,13306.11328125,14254.44140625,15337.8125,16639.421875,0.25,0.30000001192092896,0.2750000059604645,0.25,0.25,0.25,0.25,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.25,0.25,0.1408534049987793,0.19997388124465942,-4.3840789794921875,-4.5863037109375,-4.4677886962890625,-2.823028564453125,-2.5052490234375,-3.260223388671875,-4.1818695068359375,-4.7411651611328125,-5.2128753662109375,-5.1533050537109375,-4.2643890380859375,-2.5183258056640625,-0.9452667236328125,-0.0633392333984375,-0.85357666015625,-1.7720184326171875,-0.37945556640625,2.050018310546875,3.400482177734375,2.8260040283203125,7.6935272216796875,7.182220458984375,6.0123443603515625,8.237289428710938,9.217300415039062,6.807891845703125,5.47698974609375,3.22015380859375,3.020620346069336
